endpoint,method,variant,subset,component,n,mean_recovery_pct,median_recovery_pct,q1_pct,q3_pct,within80_120_pct
concentration,MLP_old4class,above_intercept_partition,binary,TBZ,14,2.271989229736236,1.9639378582635016,1.0565465699173826,2.724851752164376,0.0
concentration,MLP_old4class,above_intercept_partition,binary,THI,14,16.197005042510714,6.263506096218508,2.6770919803417694,20.0,0.0
concentration,MLP_old4class,above_intercept_partition,binary,ALL,42,6.797056402864753,2.0731617028502605,1.0565465699173826,4.9329896712754255,0.0
concentration,MLP_old4class,above_intercept_partition,ternary,DQ,72,19.587358008055666,14.593155270205969,8.485542128506939,25.691573136344196,0.0
concentration,MLP_old4class,above_intercept_partition,ternary,TBZ,72,17.044951363113228,14.756033058061334,8.971011477551045,20.20699987323691,0.0
concentration,MLP_old4class,above_intercept_partition,ternary,THI,72,24.836990068309245,21.332621988307718,16.21639186916565,33.975640158853615,1.3888888888888888
concentration,MLP_old4class,above_intercept_partition,ternary,ALL,216,20.489766479826045,17.97790184353306,9.457210144039877,33.25484023204963,0.4629629629629629
concentration,PLS8_4class,raw_signal_partition,binary,DQ,14,0.8466679130546105,0.6117097920982746,0.215953489559736,0.8795316891523314,0.0
concentration,PLS8_4class,raw_signal_partition,binary,TBZ,14,1.8945101963620699,1.5891129498799645,0.8590551702631037,2.703199115159071,0.0
concentration,PLS8_4class,raw_signal_partition,binary,THI,14,12.965509115993239,5.478050658472412,2.4383121880640943,17.083970611848535,0.0
concentration,PLS8_4class,raw_signal_partition,binary,ALL,42,5.235562408469972,1.5891129498799645,0.6596792452171008,3.5209229687998382,0.0
concentration,PLS8_4class,raw_signal_partition,ternary,DQ,72,9.073418451214668,7.828247626573063,4.277216881588367,12.456165486617909,0.0
concentration,PLS8_4class,raw_signal_partition,ternary,TBZ,72,14.280215297410088,12.676155370142627,7.214551014390517,20.91919087100028,0.0
concentration,PLS8_4class,raw_signal_partition,ternary,THI,72,18.344286874566613,15.99632999317259,11.592585106296866,24.59514050779256,0.0
concentration,PLS8_4class,raw_signal_partition,ternary,ALL,216,13.899306874397121,11.933276012174495,6.5673954044712985,19.51452489223175,0.0
concentration,PLS8_4class,above_intercept_partition,binary,DQ,14,1.635332964938986,1.2567406446032268,0.4089494094362267,2.3356569987950544,0.0
concentration,PLS8_4class,above_intercept_partition,binary,TBZ,14,2.1327352600329306,1.961752838252844,0.9909931046726999,2.878889310328026,0.0
concentration,PLS8_4class,above_intercept_partition,binary,THI,14,14.465698997092662,7.2515357923132,3.1715379110410393,19.957180492254324,0.0
concentration,PLS8_4class,above_intercept_partition,binary,ALL,42,6.07792240735486,2.0764703020151494,0.9909931046726999,4.78457999845633,0.0
concentration,PLS8_4class,above_intercept_partition,ternary,DQ,72,19.414770811162455,15.476850010047881,8.712033265920088,25.06041849983431,0.0
concentration,PLS8_4class,above_intercept_partition,ternary,TBZ,72,17.099805754128372,15.214218133201484,8.647084714668775,22.84843041918086,0.0
concentration,PLS8_4class,above_intercept_partition,ternary,THI,72,24.71492454372769,21.93488412258162,16.034242495592288,34.511163197670726,0.0
concentration,PLS8_4class,above_intercept_partition,ternary,ALL,216,20.40983370300617,18.097617688544847,9.516690583768408,33.25527150536634,0.0
