wavenumber_cm-1,IG_DQ,IG_TBZ,IG_THI
1357.0,0.4074,0.0673,0.3309
1358.6,0.0483,0.2200,0.9609
1360.2,0.3496,0.0403,0.6192
1361.7,0.6944,0.1263,0.4832
1363.2,0.1714,0.1408,0.9063
1364.8,0.1677,0.1752,1.0000
1366.3,0.6063,0.1446,0.2858
1367.9,0.4257,0.0851,0.8511
1369.5,0.1843,0.0964,0.5965
1371.0,0.2209,0.1110,0.6195
1372.5,0.5537,0.1419,0.4451
1374.1,0.0531,0.1090,0.3331
1375.7,0.2851,0.0985,0.3999
1377.2,0.1132,0.1145,0.3354
1378.8,0.1880,0.0905,0.1558
1380.3,0.4254,0.2458,0.4202
1381.8,0.3620,0.2044,0.2854
1383.4,0.0639,0.0668,0.2048
1385.0,0.2891,0.1650,0.2154
1386.5,0.4009,0.2161,0.2136
1388.0,0.4689,0.2304,0.1882
1389.6,0.1545,0.0620,0.0745
1391.2,0.1616,0.0795,0.0596
1392.7,0.2647,0.1279,0.0824
1394.2,0.5104,0.2362,0.1714
1395.8,0.4243,0.2105,0.1761
1397.3,0.2531,0.1299,0.0964
1398.9,0.0830,0.0443,0.0479
1400.5,0.1120,0.0525,0.0360
1402.0,0.1118,0.0696,0.0419
1403.5,0.0235,0.0153,0.0160
1405.1,0.0234,0.0234,0.0027
1406.7,0.0113,0.0137,0.0005
1408.2,0.0047,0.0060,0.0001
1409.8,0.0008,0.0011,0.0000
1411.3,0.0010,0.0014,0.0000
1412.8,0.0037,0.0050,0.0000
1414.4,0.0030,0.0041,0.0000
1416.0,0.0010,0.0013,0.0000
1417.5,0.0041,0.0050,0.0000
1419.0,0.0012,0.0014,0.0004
1420.6,0.0193,0.0180,0.0134
1422.2,0.0064,0.0041,0.0024
1423.7,0.0034,0.0092,0.0456
1425.2,0.0054,0.0097,0.0420
1426.8,0.0671,0.0319,0.0442
1428.3,0.0599,0.0347,0.0705
1429.9,0.0645,0.0329,0.0573
1431.5,0.0205,0.0086,0.0755
1433.0,0.0121,0.0260,0.1568
1434.5,0.0215,0.0273,0.1089
1436.1,0.0500,0.0099,0.1285
1437.7,0.0715,0.0106,0.0977
1439.2,0.1129,0.0111,0.1995
1440.8,0.1300,0.0188,0.1842
1442.3,0.1818,0.0549,0.1415
1443.8,0.2055,0.0727,0.1346
1445.4,0.1086,0.0286,0.1769
1447.0,0.1398,0.0353,0.1919
1448.5,0.1625,0.0554,0.1819
1450.0,0.2272,0.0818,0.2179
1451.6,0.2154,0.0881,0.1607
1453.2,0.2194,0.0680,0.2485
1454.7,0.0787,0.0410,0.2418
1456.2,0.0512,0.0386,0.2270
1457.8,0.0366,0.0468,0.2617
1459.3,0.0418,0.0432,0.2551
1460.9,0.0400,0.0183,0.1398
1462.5,0.0168,0.0267,0.1648
1464.0,0.0190,0.0410,0.1702
1465.5,0.0687,0.0578,0.1743
1467.1,0.0124,0.0293,0.1301
1468.7,0.0768,0.0489,0.1240
1470.2,0.0765,0.0503,0.1215
1471.8,0.1407,0.0806,0.1829
1473.3,0.0727,0.0413,0.0947
1474.8,0.0817,0.0428,0.0944
1476.4,0.0987,0.0446,0.0901
1478.0,0.1470,0.0652,0.1353
1479.5,0.1410,0.0571,0.1121
1481.0,0.1212,0.0478,0.0903
1482.6,0.0445,0.0052,0.0495
1484.2,0.1431,0.0481,0.0860
1485.7,0.0101,0.0167,0.0664
1487.2,0.0777,0.0034,0.1170
1488.8,0.0651,0.0034,0.0962
1490.3,0.1332,0.0141,0.1314
1491.9,0.0206,0.0444,0.2229
1493.5,0.0593,0.0334,0.2611
1495.0,0.0355,0.0544,0.2089
1496.5,0.0293,0.0466,0.2386
1498.1,0.0757,0.0311,0.2612
1499.7,0.0643,0.0242,0.2100
1501.2,0.0298,0.0537,0.2639
1502.8,0.0291,0.0567,0.2867
1504.3,0.0688,0.0316,0.2450
1505.8,0.0518,0.0348,0.2373
1507.4,0.1352,0.0239,0.2436
1509.0,0.0858,0.0189,0.1903
1510.5,0.3008,0.0968,0.1500
1512.0,0.2172,0.0849,0.1255
1513.6,0.2977,0.1447,0.1073
1515.2,0.5304,0.2962,0.1270
1516.7,0.3330,0.1966,0.0846
1518.2,0.4423,0.3021,0.0580
1519.8,0.5367,0.3934,0.0500
1521.3,0.5791,0.4427,0.0439
1522.9,0.5016,0.4102,0.0280
1524.5,0.4583,0.3825,0.0244
1526.0,0.4853,0.4286,0.0204
1527.5,0.4575,0.4275,0.0132
1529.1,0.1396,0.1439,0.0101
1530.7,0.1910,0.2035,0.0083
1532.2,0.1632,0.1764,0.0041
1533.8,0.0928,0.1067,0.0083
1535.3,0.0789,0.0974,0.0039
1536.8,0.0358,0.0296,0.0039
1538.4,0.0497,0.0427,0.0041
1540.0,0.0348,0.0318,0.0031
1541.5,0.0818,0.0818,0.0041
1543.0,0.0845,0.0850,0.0040
1544.6,0.1013,0.0999,0.0046
1546.2,0.0403,0.0381,0.0052
1547.7,0.0522,0.0553,0.0047
1549.2,0.0456,0.0408,0.0069
1550.8,0.0427,0.0454,0.0093
1552.3,0.0708,0.0816,0.0086
1553.9,0.0709,0.0785,0.0089
1555.5,0.0966,0.0947,0.0113
1557.0,0.1739,0.1800,0.0116
1558.5,0.1016,0.1000,0.0201
1560.1,0.1322,0.1276,0.0317
1561.7,0.1356,0.1802,0.0386
1563.2,0.1844,0.2264,0.0351
1564.8,0.3220,0.3645,0.0447
1566.3,0.4807,0.5209,0.0435
1567.8,0.6601,0.6775,0.0412
1569.4,0.9772,1.0000,0.0590
1571.0,0.8801,0.8811,0.0658
1572.5,0.7422,0.7342,0.0448
1574.0,0.9270,0.8991,0.0511
1575.6,1.0000,0.9801,0.0466
1577.2,0.8585,0.8284,0.0415
1578.7,0.9569,0.9474,0.0626
1580.2,0.5633,0.5958,0.0488
1581.8,0.3312,0.3546,0.0296
1583.3,0.1539,0.1904,0.0345
1584.9,0.1114,0.1368,0.0246
1586.5,0.0742,0.0967,0.0095
1588.0,0.1244,0.1497,0.0253
1589.5,0.0762,0.0671,0.0145
1591.1,0.0624,0.0794,0.0117
1592.7,0.0863,0.0797,0.0121
1594.2,0.0344,0.0289,0.0089
1595.8,0.0803,0.0942,0.0097
1597.3,0.0258,0.0348,0.0122
1598.8,0.0576,0.0482,0.0140
1600.4,0.0333,0.0246,0.0081
1602.0,0.0335,0.0420,0.0144
1603.5,0.1281,0.1346,0.0150
1605.0,0.1696,0.1677,0.0141
1606.6,0.1665,0.1668,0.0182
1608.2,0.1748,0.1645,0.0145
1609.7,0.0646,0.0657,0.0076
1611.2,0.1399,0.1335,0.0088
1612.8,0.1143,0.1112,0.0085
1614.3,0.0791,0.0750,0.0076
1615.9,0.0877,0.0807,0.0092
1617.5,0.1343,0.1268,0.0111
1619.0,0.0862,0.0809,0.0071
1620.5,0.0364,0.0323,0.0066
1622.1,0.0584,0.0482,0.0074
1623.7,0.0495,0.0460,0.0055
1625.2,0.0865,0.0704,0.0104
1626.8,0.0265,0.0239,0.0054
1628.3,0.0064,0.0080,0.0065
1629.8,0.0362,0.0341,0.0092
1631.4,0.0232,0.0207,0.0186
1633.0,0.0332,0.0284,0.0107
1634.5,0.0230,0.0195,0.0127
1636.0,0.0101,0.0087,0.0170
1637.6,0.0046,0.0071,0.0130
1639.2,0.0198,0.0093,0.0092
1640.7,0.0293,0.0123,0.0147
1642.2,0.0342,0.0131,0.0221
1643.8,0.0083,0.0037,0.0115
1645.3,0.0094,0.0042,0.0140
1646.9,0.0224,0.0078,0.0163
1648.5,0.0249,0.0077,0.0200
1650.0,0.0539,0.0194,0.0238
1651.5,0.0267,0.0081,0.0190
1653.1,0.0042,0.0055,0.0313
1654.7,0.0215,0.0081,0.0216
1656.2,0.0054,0.0032,0.0135
1657.8,0.0393,0.0115,0.0202
1659.3,0.0154,0.0069,0.0157
1660.8,0.0230,0.0088,0.0192
1662.4,0.0129,0.0027,0.0075
1664.0,0.0250,0.0073,0.0134
1665.5,0.0137,0.0064,0.0036
1667.0,0.0035,0.0078,0.0364
1668.6,0.0763,0.0367,0.0471
1670.2,0.0121,0.0014,0.0171
1671.7,0.0305,0.0144,0.0356
1673.2,0.0053,0.0081,0.0312
1674.8,0.0584,0.0219,0.0244
1676.3,0.0228,0.0095,0.0090
1677.9,0.0043,0.0018,0.0046
1679.5,0.0222,0.0139,0.0222
1681.0,0.0783,0.0377,0.0295
1682.5,0.1160,0.0540,0.0525
1684.1,0.0559,0.0333,0.0323
1685.7,0.0049,0.0030,0.0030
1687.2,0.0201,0.0182,0.0442
1688.8,0.0398,0.0198,0.0157
1690.3,0.0573,0.0279,0.0243
1691.8,0.0302,0.0143,0.0193
1693.4,0.0329,0.0176,0.0077
1695.0,0.0867,0.0434,0.0349
1696.5,0.0708,0.0382,0.0228
1698.0,0.0302,0.0221,0.0257
1699.6,0.0323,0.0209,0.0212
1701.2,0.0223,0.0155,0.0138
1702.7,0.0664,0.0448,0.0260
1704.2,0.0029,0.0042,0.0161
1705.8,0.0100,0.0041,0.0078
1707.3,0.0139,0.0085,0.0030
