condition,True_THI_uM,True_TBZ_uM,True_DQ_uM,THI_NNLS_uM,THI_NNLS_kt_uM,TBZ_NNLS_uM,TBZ_NNLS_kt_uM,DQ_NNLS_uM,DQ_NNLS_kt_uM,THI_PLS_uM,THI_PLS_kt_uM,TBZ_PLS_uM,TBZ_PLS_kt_uM,DQ_PLS_uM,DQ_PLS_kt_uM,THI_MLP_uM,THI_MLP_kt_uM,TBZ_MLP_uM,TBZ_MLP_kt_uM,DQ_MLP_uM,DQ_MLP_kt_uM
DQ12-TB12-TH3,3.0,12.0,12.0,1.107,7.026,1.591,10.103,1.555,9.871,2.533,3.072,9.721,11.79,10.008,12.138,2.365,2.228,12.359,11.645,13.933,13.128
DQ12-TB12-TH6,6.0,12.0,12.0,5.52,11.739,2.091,4.446,6.496,13.815,6.072,6.338,9.701,10.125,12.97,13.537,7.308,6.239,12.19,10.407,15.642,13.354
DQ12-TB12-TH12,12.0,12.0,12.0,11.635,23.455,3.195,6.441,3.028,6.104,12.036,11.678,17.291,16.779,7.774,7.543,10.917,12.306,10.169,11.463,10.852,12.232
DQ12-TB12-TH24,24.0,12.0,12.0,25.465,43.133,1.35,2.286,1.524,2.582,17.677,21.528,10.341,12.594,11.396,13.878,16.807,27.08,6.554,10.56,6.43,10.36
DQ12-TB24-TH3,3.0,24.0,12.0,1.022,9.269,2.082,18.887,1.195,10.845,4.099,4.28,19.769,20.645,13.477,14.074,2.058,2.3,21.814,24.381,11.023,12.32
DQ12-TB24-TH6,6.0,24.0,12.0,3.216,3.199,18.137,18.039,20.876,20.763,4.272,1.632,98.889,37.788,6.75,2.579,3.46,2.415,47.92,33.449,8.79,6.136
DQ12-TB24-TH12,12.0,24.0,12.0,19.644,25.863,10.341,13.614,6.473,8.523,21.957,11.349,65.383,33.794,5.527,2.857,15.876,8.27,66.517,34.648,9.758,5.083
DQ12-TB24-TH24,24.0,24.0,12.0,16.06,42.84,3.702,9.875,2.731,7.285,24.647,8.743,129.081,45.787,15.42,5.47,21.544,24.375,22.291,25.221,9.196,10.404
DQ24-TB3-TH3,3.0,3.0,24.0,3.941,9.867,1.292,3.234,6.751,16.9,4.727,2.917,5.597,3.454,38.288,23.629,5.038,3.991,7.512,5.951,25.317,20.057
DQ24-TB3-TH6,6.0,3.0,24.0,9.733,22.511,1.675,3.875,2.859,6.614,6.801,2.098,28.281,8.724,71.891,22.178,5.749,6.234,6.247,6.774,18.438,19.992
