DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_nnls_Z2
86,4,10,0.1095
86,6,8,0.1088
86,8,6,0.1064
86,10,4,0.1079
86,12,2,0.1193
86,14,0,0.1464
88,0,12,0.1148
88,2,10,0.1207
88,4,8,0.1154
88,6,6,0.1047
88,8,4,0.0957
88,10,2,0.0954
88,12,0,0.111
90,0,10,0.1345
90,2,8,0.1292
90,4,6,0.1135
90,6,4,0.097
90,8,2,0.0863
90,10,0,0.0896
