DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_nnls_Z2
6,36,58,0.2703
6,38,56,0.2269
6,40,54,0.1864
6,42,52,0.1498
6,44,50,0.1183
6,46,48,0.0942
6,48,46,0.0828
6,50,44,0.0844
6,52,42,0.0935
6,54,40,0.1079
6,56,38,0.1267
6,58,36,0.1488
6,60,34,0.1734
6,62,32,0.1997
6,64,30,0.2267
6,66,28,0.2531
6,68,26,0.2776
6,70,24,0.2984
6,72,22,0.3142
6,74,20,0.3262
6,76,18,0.3394
6,78,16,0.3615
6,80,14,0.4004
6,82,12,0.4603
6,84,10,0.538
6,86,8,0.6252
6,88,6,0.713
6,90,4,0.7957
8,2,90,0.7902
8,4,88,0.7649
8,6,86,0.7382
8,8,84,0.7109
8,10,82,0.684
8,12,80,0.658
8,14,78,0.6332
8,16,76,0.6088
8,18,74,0.5833
8,20,72,0.5549
8,22,70,0.5224
8,24,68,0.4853
8,26,66,0.4443
8,28,64,0.4005
8,30,62,0.3551
8,32,60,0.3093
8,34,58,0.2641
8,36,56,0.2205
8,38,54,0.1794
8,40,52,0.142
8,42,50,0.1093
8,44,48,0.0835
8,46,46,0.0674
8,48,44,0.0634
8,50,42,0.0692
8,52,40,0.0821
8,54,38,0.1002
8,56,36,0.1223
8,58,34,0.1475
8,60,32,0.1748
8,62,30,0.2034
8,64,28,0.2321
8,66,26,0.26
8,68,24,0.2857
8,70,22,0.3084
8,72,20,0.3287
8,74,18,0.3491
8,76,16,0.3745
8,78,14,0.4104
8,80,12,0.4609
8,82,10,0.5261
8,84,8,0.6023
8,86,6,0.6834
8,88,4,0.764
8,90,2,0.8411
10,0,90,0.7826
10,2,88,0.7586
10,4,86,0.7324
10,6,84,0.7051
10,8,82,0.6774
10,10,80,0.6499
10,12,78,0.6229
10,14,76,0.5961
10,16,74,0.5687
10,18,72,0.5395
10,20,70,0.5074
10,22,68,0.4718
10,24,66,0.4328
10,26,64,0.391
10,28,62,0.3473
