DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
40.0,20.0,40.0,true,DQ24-TB12-TH24,ternary,0.8
29.0,11.0,60.0,pred,DQ24-TB12-TH24,ternary,0.8
,,,,,,
47.06,47.06,5.88,true,DQ24-TB24-TH3,ternary,0.6294
10.0,77.0,13.0,pred,DQ24-TB24-TH3,ternary,0.6294
,,,,,,
44.44,44.44,11.11,true,DQ24-TB24-TH6,ternary,0.6705
11.0,58.0,30.0,pred,DQ24-TB24-TH6,ternary,0.6705
,,,,,,
40.0,40.0,20.0,true,DQ24-TB24-TH12,ternary,0.69
24.0,25.0,51.0,pred,DQ24-TB24-TH12,ternary,0.69
,,,,,,
33.33,33.33,33.33,true,DQ24-TB24-TH24,ternary,0.7067
4.0,45.0,51.0,pred,DQ24-TB24-TH24,ternary,0.7067
,,,,,,
33.33,33.33,33.33,true,DQ33-TB33-TH33,ternary,0.7367
7.0,53.0,40.0,pred,DQ33-TB33-TH33,ternary,0.7367
,,,,,,
4.72,47.64,47.64,true,DQ33-TB333-TH333,ternary,0.4764
0.0,0.0,100.0,pred,DQ33-TB333-TH333,ternary,0.4764
,,,,,,
25.0,0.0,75.0,true,DQ50-TB0-TH150,binary,0.75
0.0,0.0,100.0,pred,DQ50-TB0-TH150,binary,0.75
,,,,,,
16.67,0.0,83.33,true,DQ50-TB0-TH250,binary,0.8333
0.0,0.0,100.0,pred,DQ50-TB0-TH250,binary,0.8333
,,,,,,
9.09,0.0,90.91,true,DQ50-TB0-TH500,binary,0.9091
0.0,0.0,100.0,pred,DQ50-TB0-TH500,binary,0.9091
,,,,,,
25.0,75.0,0.0,true,DQ50-TB150-TH0,binary,0.99
24.0,76.0,0.0,pred,DQ50-TB150-TH0,binary,0.99
,,,,,,
16.67,83.33,0.0,true,DQ50-TB250-TH0,binary,0.8933
6.0,94.0,0.0,pred,DQ50-TB250-TH0,binary,0.8933
,,,,,,
9.09,90.91,0.0,true,DQ50-TB500-TH0,binary,0.9491
4.0,96.0,0.0,pred,DQ50-TB500-TH0,binary,0.9491
,,,,,,
33.33,33.33,33.33,true,DQ100-TB100-TH100,ternary,0.3334
0.0,0.0,100.0,pred,DQ100-TB100-TH100,ternary,0.3334
,,,,,,
75.0,0.0,25.0,true,DQ150-TB0-TH50,binary,0.57
32.0,0.0,68.0,pred,DQ150-TB0-TH50,binary,0.57
,,,,,,
75.0,25.0,0.0,true,DQ150-TB50-TH0,binary,0.96
71.0,29.0,0.0,pred,DQ150-TB50-TH0,binary,0.96
,,,,,,
83.33,0.0,16.67,true,DQ250-TB0-TH50,binary,0.2267
6.0,0.0,94.0,pred,DQ250-TB0-TH50,binary,0.2267
,,,,,,
83.33,16.67,0.0,true,DQ250-TB50-TH0,binary,0.2867
12.0,88.0,0.0,pred,DQ250-TB50-TH0,binary,0.2867
,,,,,,
47.64,4.72,47.64,true,DQ333-TB33-TH333,ternary,0.4764
0.0,0.0,100.0,pred,DQ333-TB33-TH333,ternary,0.4764
,,,,,,
47.64,47.64,4.72,true,DQ333-TB333-TH33,ternary,0.7072
40.0,26.0,34.0,pred,DQ333-TB333-TH33,ternary,0.7072
,,,,,,
33.33,33.33,33.33,true,DQ333-TB333-TH333,ternary,0.3733
2.0,2.0,96.0,pred,DQ333-TB333-TH333,ternary,0.3733
,,,,,,
90.91,0.0,9.09,true,DQ500-TB0-TH50,binary,0.6509
56.0,0.0,44.0,pred,DQ500-TB0-TH50,binary,0.6509
,,,,,,
50.0,0.0,50.0,true,DQ500-TB0-TH500,binary,0.52
2.0,0.0,98.0,pred,DQ500-TB0-TH500,binary,0.52
,,,,,,
90.91,9.09,0.0,true,DQ500-TB50-TH0,binary,0.2309
14.0,86.0,0.0,pred,DQ500-TB50-TH0,binary,0.2309
,,,,,,
50.0,50.0,0.0,true,DQ500-TB500-TH0,binary,0.88
62.0,38.0,0.0,pred,DQ500-TB500-TH0,binary,0.88
,,,,,,
