DQ,TBZ,THI,subset,imbalance_100x,Ratio_DQ_True,Ratio_TBZ_True,Ratio_THI_True,Ratio_DQ_NNLS,Recovery_DQ_NNLS_pct,Ratio_TBZ_NNLS,Recovery_TBZ_NNLS_pct,Ratio_THI_NNLS,Recovery_THI_NNLS_pct,Ratio_DQ_RF,Recovery_DQ_RF_pct,Ratio_TBZ_RF,Recovery_TBZ_RF_pct,Ratio_THI_RF,Recovery_THI_RF_pct,Ratio_DQ_PLS,Recovery_DQ_PLS_pct,Ratio_TBZ_PLS,Recovery_TBZ_PLS_pct,Ratio_THI_PLS,Recovery_THI_PLS_pct,Ratio_DQ_MLP,Recovery_DQ_MLP_pct,Ratio_TBZ_MLP,Recovery_TBZ_MLP_pct,Ratio_THI_MLP,Recovery_THI_MLP_pct
24,3,6,ternary,0,72.73,9.09,18.18,43.93,60.4,19.41,213.5,36.67,201.7,51.1,70.3,19.88,218.7,29.02,159.6,60.06,82.6,8.67,95.4,31.27,172.0,56.61,77.8,20.8,228.8,22.59,124.2
24,3,12,ternary,0,61.54,7.69,30.77,21.25,34.5,11.23,146.0,67.53,219.5,31.4,51.0,17.37,225.8,51.23,166.5,34.66,56.3,12.19,158.5,53.14,172.7,22.9,37.2,6.21,80.7,70.89,230.4
24,3,24,ternary,0,47.06,5.88,47.06,23.53,50.0,14.24,242.1,62.23,132.2,25.55,54.3,22.08,375.4,52.37,111.3,20.38,43.3,21.26,361.4,58.36,124.0,26.92,57.2,27.39,465.6,45.7,97.1
24,6,3,ternary,0,72.73,18.18,9.09,52.99,72.9,37.05,203.8,9.96,109.6,57.59,79.2,27.66,152.1,14.76,162.4,53.85,74.0,24.77,136.2,21.38,235.2,58.88,81.0,22.43,123.4,18.68,205.5
24,6,6,ternary,0,66.67,16.67,16.67,38.96,58.4,32.26,193.6,28.78,172.7,41.65,62.5,30.4,182.4,27.95,167.7,46.05,69.1,26.48,158.9,27.47,164.8,57.68,86.5,26.85,161.1,15.48,92.9
24,6,12,ternary,0,57.14,14.29,28.57,47.82,83.7,17.03,119.2,35.15,123.0,54.64,95.6,19.25,134.8,26.11,91.4,55.3,96.8,18.4,128.8,26.3,92.1,50.6,88.6,23.52,164.6,25.87,90.5
24,6,24,ternary,0,44.44,11.11,44.44,26.7,60.1,11.54,103.9,61.76,139.0,42.16,94.9,15.16,136.4,42.67,96.0,46.0,103.5,10.6,95.4,43.39,97.6,35.99,81.0,21.53,193.8,42.48,95.6
24,12,3,ternary,0,61.54,30.77,7.69,45.92,74.6,44.69,145.2,9.39,122.1,49.89,81.1,35.53,115.5,14.58,189.5,51.92,84.4,33.17,107.8,14.92,194.0,62.22,101.1,30.82,100.2,6.96,90.5
24,12,6,ternary,0,57.14,28.57,14.29,48.07,84.1,32.31,113.1,19.62,137.3,57.65,100.9,26.3,92.1,16.05,112.4,60.53,105.9,24.31,85.1,15.17,106.2,63.66,111.4,24.86,87.0,11.48,80.4
24,12,12,ternary,0,50.0,25.0,25.0,30.38,60.8,19.58,78.3,50.05,200.2,42.54,85.1,21.08,84.3,36.38,145.5,43.34,86.7,19.25,77.0,37.41,149.6,36.22,72.4,25.9,103.6,37.89,151.6
24,12,24,ternary,0,40.0,20.0,40.0,30.88,77.2,16.3,81.5,52.82,132.1,49.63,124.1,23.02,115.1,27.35,68.4,55.34,138.4,10.06,50.3,34.59,86.5,47.32,118.3,26.83,134.1,25.85,64.6
24,24,3,ternary,0,47.06,47.06,5.88,18.64,39.6,71.23,151.4,10.13,172.2,25.42,54.0,58.65,124.6,15.93,270.8,36.22,77.0,58.88,125.1,4.91,83.5,27.46,58.4,53.52,113.7,19.02,323.3
24,24,6,ternary,0,44.44,44.44,11.11,19.49,43.9,56.73,127.6,23.78,214.0,26.9,60.5,50.08,112.7,23.02,207.2,33.45,75.3,47.4,106.7,19.15,172.3,25.94,58.4,44.7,100.6,29.36,264.2
24,24,12,ternary,0,40.0,40.0,20.0,28.7,71.8,30.71,76.8,40.59,202.9,36.7,91.8,31.87,79.7,31.43,157.2,36.71,91.8,32.02,80.0,31.27,156.3,39.23,98.1,29.03,72.6,31.75,158.8
24,24,24,ternary,0,33.33,33.33,33.33,6.26,18.8,45.23,135.7,48.51,145.5,19.26,57.8,45.22,135.7,35.53,106.6,28.46,85.4,42.7,128.1,28.83,86.5,20.15,60.5,32.94,98.8,46.91,140.7
33,33,33,ternary,0,33.33,33.33,33.33,7.95,23.9,53.11,159.3,38.94,116.8,21.12,63.4,45.76,137.3,33.12,99.4,32.72,98.2,41.75,125.3,25.54,76.6,31.62,94.9,37.01,111.0,31.37,94.1
33,333,333,ternary,0,4.72,47.64,47.64,0.82,17.4,0.1,0.2,99.07,208.0,16.71,353.9,17.02,35.7,66.27,139.1,15.27,323.4,14.72,30.9,70.01,147.0,3.94,83.5,9.27,19.5,86.79,182.2
50,0,150,binary,0,25.0,0.0,75.0,0.08,0.3,0.45,,99.46,132.6,21.06,84.2,17.72,,61.22,81.6,20.91,83.6,7.34,,71.75,95.7,2.57,10.3,0.81,,96.62,128.8
50,0,250,binary,0,16.67,0.0,83.33,0.53,3.2,0.21,,99.26,119.1,25.42,152.5,15.77,,58.81,70.6,23.54,141.2,11.71,,64.76,77.7,7.74,46.4,4.93,,87.33,104.8
50,0,500,binary,0,9.09,0.0,90.91,0.54,5.9,0.05,,99.42,109.4,17.25,189.7,13.12,,69.63,76.6,20.19,222.1,12.36,,67.45,74.2,35.54,390.9,18.18,,46.28,50.9
