DQ,TBZ,THI,imbalance_100x,True_THI_pct,True_TBZ_pct,True_DQ_pct,Rec_THI_VIPband,Rec_TBZ_VIPband,Rec_DQ_VIPband,Rec_THI_NNLS,Rec_TBZ_NNLS,Rec_DQ_NNLS,Rec_THI_NNLSRF,Rec_TBZ_NNLSRF,Rec_DQ_NNLSRF,Rec_THI_MCR,Rec_TBZ_MCR,Rec_DQ_MCR,Rec_THI_PLS,Rec_TBZ_PLS,Rec_DQ_PLS,Rec_THI_RF,Rec_TBZ_RF,Rec_DQ_RF,Rec_THI_CNN,Rec_TBZ_CNN,Rec_DQ_CNN,Rec_THI_MLP,Rec_TBZ_MLP,Rec_DQ_MLP
24,3,6,0,18.18,9.09,72.73,216.4,166.1,62.6,201.7,213.5,60.4,121.4,184.0,84.1,192.1,170.1,68.2,172.0,95.4,82.6,159.6,218.7,70.3,157.6,128.6,82.0,124.2,228.8,77.8
24,3,12,0,30.77,7.69,61.54,228.2,105.8,35.1,219.5,146.0,34.5,175.9,151.4,55.6,215.5,105.4,41.6,172.7,158.5,56.3,166.5,225.8,51.0,188.2,170.8,47.1,230.4,80.7,37.2
24,3,24,0,47.06,5.88,47.06,137.4,119.0,60.2,132.2,242.1,50.0,96.3,292.6,79.6,128.5,179.5,61.6,124.0,361.4,43.3,111.3,375.4,54.3,106.0,557.8,36.8,97.1,465.6,57.2
24,6,3,0,9.09,18.18,72.73,133.1,149.8,83.4,109.6,203.8,72.9,58.3,156.1,91.2,80.4,176.4,83.4,235.2,136.2,74.0,162.4,152.1,79.2,112.3,111.8,95.5,205.5,123.4,81.0
24,6,6,0,16.67,16.67,66.67,200.7,146.0,63.3,172.7,193.6,58.4,103.3,192.2,76.1,156.1,161.2,70.7,164.8,158.9,69.1,167.7,182.4,62.5,160.3,151.8,72.0,92.9,161.1,86.5
24,6,12,0,28.57,14.29,57.14,137.1,72.9,88.2,123.0,119.2,83.7,77.4,103.9,110.3,119.4,98.2,90.7,92.1,128.8,96.8,91.4,134.8,95.6,43.3,92.3,130.3,90.5,164.6,88.6
24,6,24,0,44.44,11.11,44.44,144.2,64.3,64.8,139.0,103.9,60.1,99.2,105.3,99.5,137.9,87.9,65.1,97.6,95.4,103.5,96.0,136.4,94.9,105.6,71.6,101.5,95.6,193.8,81.0
24,12,3,0,7.69,30.77,61.54,156.0,116.5,84.7,122.1,145.2,74.6,65.3,131.5,88.6,83.5,127.8,88.2,194.0,107.8,84.4,189.5,115.5,81.1,94.9,128.5,86.4,90.5,100.2,101.1
24,12,6,0,14.29,28.57,57.14,163.7,86.3,90.9,137.3,113.1,84.1,78.1,90.7,110.1,125.9,100.6,93.2,106.2,85.1,105.9,112.4,92.1,100.9,72.0,43.3,135.3,80.4,87.0,111.4
24,12,12,0,25.0,25.0,50.0,211.2,62.3,63.3,200.2,78.3,60.8,134.5,87.8,88.8,193.2,62.5,72.2,149.6,77.0,86.7,145.5,84.3,85.1,205.2,68.6,63.1,151.6,103.6,72.4
24,12,24,0,40.0,20.0,40.0,138.0,63.0,80.5,132.0,81.5,77.2,89.2,78.5,121.6,132.0,77.8,79.1,86.5,50.3,138.4,68.4,115.1,124.1,61.3,63.1,157.2,64.6,134.1,118.3
24,24,3,0,5.88,47.06,47.06,215.7,142.1,43.5,172.2,151.4,39.6,120.2,140.5,57.0,163.0,145.4,46.7,83.5,125.1,77.0,270.8,124.6,54.0,144.3,147.7,46.8,323.3,113.7,58.4
24,24,6,0,11.11,44.44,44.44,249.7,117.0,45.6,214.0,127.6,43.9,153.0,121.8,65.0,208.9,121.0,51.8,172.4,106.6,75.3,207.2,112.7,60.5,155.0,122.4,63.8,264.2,100.6,58.4
24,24,12,0,20.0,40.0,40.0,224.0,60.5,77.5,202.9,76.8,71.8,142.4,74.4,104.4,198.9,69.6,80.9,156.4,80.0,91.8,157.2,79.7,91.8,121.4,81.6,107.7,158.8,72.6,98.1
24,24,24,0,33.33,33.33,33.33,156.5,121.4,22.0,145.5,135.7,18.8,136.1,133.9,30.0,148.4,135.8,15.8,86.5,128.1,85.4,106.6,135.7,57.8,78.4,136.2,85.4,140.7,98.8,60.5
33,33,33,0,33.33,33.33,33.33,127.5,144.0,28.6,116.8,159.3,23.9,107.8,154.7,37.5,121.8,163.1,15.1,76.6,125.3,98.2,99.4,137.3,63.4,60.7,161.3,78.0,94.1,111.0,94.9
33,333,333,0,47.64,47.64,4.72,209.2,0.3,4.2,208.0,0.2,17.4,206.0,0.3,36.2,209.5,0.0,3.8,147.0,30.9,323.4,139.1,35.7,353.9,103.8,58.2,483.6,182.2,19.5,83.5
50,0,150,0,75.0,0.0,25.0,132.3,,0.4,132.6,,0.3,132.2,,0.8,133.2,,0.0,95.7,,83.6,81.6,,84.2,92.7,,90.0,128.8,,10.3
50,0,250,0,83.33,0.0,16.67,119.6,,0.7,119.1,,3.2,118.3,,6.7,119.7,,0.9,77.7,,141.2,70.6,,152.5,54.7,,188.3,104.8,,46.4
50,0,500,0,90.91,0.0,9.09,109.6,,3.5,109.4,,5.9,108.6,,13.1,109.9,,0.4,74.2,,222.1,76.6,,189.7,74.5,,288.1,50.9,,390.9
50,150,0,0,0.0,75.0,25.0,,88.6,118.4,,99.3,91.8,,93.6,113.3,,104.8,71.7,,78.3,134.0,,73.7,142.0,,103.0,84.4,,64.3,201.7
50,250,0,0,0.0,83.33,16.67,,101.4,74.6,,102.8,63.1,,98.7,91.0,,107.0,43.7,,85.5,96.9,,67.4,225.4,,84.6,157.3,,107.9,26.0
50,500,0,0,0.0,90.91,9.09,,103.0,69.6,,104.6,53.7,,102.1,78.8,,110.0,0.2,,78.0,315.3,,85.6,220.0,,64.6,435.7,,106.2,36.7
100,100,100,0,33.33,33.33,33.33,297.6,1.6,0.8,296.0,0.4,3.6,293.5,0.4,6.2,297.9,0.1,2.0,190.2,53.0,56.8,218.3,30.1,51.6,244.6,5.7,49.7,250.9,16.4,32.7
150,0,50,0,25.0,0.0,75.0,253.2,,47.7,251.8,,47.3,186.9,,69.1,255.6,,45.8,168.6,,72.8,141.1,,70.3,80.9,,95.7,151.0,,80.0
150,50,0,0,0.0,25.0,75.0,,76.3,101.5,,118.1,89.8,,99.2,98.2,,139.3,82.9,,158.8,77.5,,185.2,65.6,,132.8,86.4,,139.6,85.4
250,0,50,0,16.67,0.0,83.33,509.2,,16.8,500.0,,17.7,460.3,,25.7,503.5,,17.2,305.7,,43.4,280.0,,47.0,342.2,,46.1,236.6,,68.7
250,50,0,0,0.0,16.67,83.33,,506.4,18.5,,522.5,15.4,,502.6,19.4,,553.1,9.1,,405.4,38.4,,403.4,30.0,,552.7,8.8,,358.3,46.0
333,3,333,1,49.78,0.45,49.78,200.4,15.6,0.4,199.2,11.2,1.6,197.5,15.6,3.3,200.5,0.0,0.4,141.4,1926.7,42.1,138.0,2863.3,37.1,112.2,2751.8,63.9,191.9,191.8,7.3
333,33,333,0,47.64,4.72,47.64,209.1,3.6,0.4,207.8,3.4,1.8,205.4,4.4,4.1,209.3,2.8,0.4,135.3,229.8,51.8,139.1,327.5,38.3,162.6,159.7,31.5,175.4,86.0,26.0
333,333,3,1,0.45,49.78,49.78,2600.2,49.7,127.8,2203.2,71.9,109.1,1605.6,55.3,131.1,2091.7,78.2,103.9,2644.8,69.1,108.0,1320.2,84.8,104.2,1251.0,70.1,119.5,374.6,32.0,165.5
333,333,33,0,4.72,47.64,47.64,858.9,42.4,82.4,798.8,55.7,75.0,592.2,50.9,100.3,832.2,65.6,61.8,451.8,53.2,111.9,498.8,66.2,94.2,297.6,69.2,111.3,518.1,69.3,89.3
333,333,333,0,33.33,33.33,33.33,273.4,11.1,15.5,268.5,16.1,15.4,261.7,15.0,23.3,270.4,16.4,13.2,170.7,64.4,65.0,171.2,51.3,77.5,228.4,34.9,36.7,172.4,37.2,90.4
500,0,5,1,0.99,0.0,99.01,1297.9,,87.6,1185.7,,88.7,610.0,,94.6,1346.3,,83.8,55.5,,95.4,496.9,,93.4,346.4,,93.6,207.1,,97.7
500,0,50,0,9.09,0.0,90.91,525.5,,56.5,522.4,,57.5,394.1,,70.4,559.8,,51.6,198.4,,85.5,134.1,,89.9,77.5,,100.7,18.3,,108.0
500,0,500,0,50.0,0.0,50.0,173.2,,24.9,171.2,,23.0,160.7,,33.9,172.9,,20.6,107.2,,55.9,97.6,,70.6,121.5,,53.1,82.5,,97.2
500,5,0,1,0.0,0.99,99.01,,674.7,92.9,,815.1,92.2,,638.3,94.3,,1515.0,85.3,,1649.3,83.7,,646.4,89.6,,377.7,95.5,,306.0,97.4
500,50,0,0,0.0,9.09,90.91,,884.4,19.8,,917.0,17.2,,878.1,21.6,,954.9,13.1,,629.6,44.2,,677.9,31.6,,945.6,14.3,,552.1,50.4
500,500,0,0,0.0,50.0,50.0,,54.7,133.3,,77.4,114.0,,60.0,135.1,,86.5,104.2,,75.1,115.0,,83.9,106.5,,103.4,91.2,,57.2,138.1
