condition,substance,E_pixel,thi_share_pct,total_uM
DQ0-TB50-TH150,TBZ,0.6724,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8742,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8424,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1204,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7022,75.0,200.0
DQ0-TB50-TH150,TBZ,1.2468,75.0,200.0
DQ0-TB50-TH150,TBZ,1.3323,75.0,200.0
DQ0-TB50-TH150,TBZ,1.355,75.0,200.0
DQ0-TB50-TH150,TBZ,0.86,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8473,75.0,200.0
DQ0-TB50-TH150,TBZ,0.865,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4489,75.0,200.0
DQ0-TB50-TH150,TBZ,1.3136,75.0,200.0
DQ0-TB50-TH150,TBZ,0.942,75.0,200.0
DQ0-TB50-TH150,TBZ,0.852,75.0,200.0
DQ0-TB50-TH150,TBZ,1.2369,75.0,200.0
DQ0-TB50-TH150,TBZ,1.9706,75.0,200.0
DQ0-TB50-TH150,TBZ,1.22,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6833,75.0,200.0
DQ0-TB50-TH150,TBZ,0.885,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5597,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1693,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2466,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3099,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1335,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4875,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3376,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3451,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5258,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3765,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5132,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8005,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5781,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3854,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2971,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2395,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2125,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2595,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4273,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6223,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0513,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7293,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0269,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9715,75.0,200.0
DQ0-TB50-TH150,TBZ,1.4377,75.0,200.0
DQ0-TB50-TH150,TBZ,1.4459,75.0,200.0
DQ0-TB50-TH150,TBZ,0.932,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7936,75.0,200.0
DQ0-TB50-TH150,TBZ,0.677,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6049,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3315,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1145,75.0,200.0
DQ0-TB50-TH150,TBZ,0.835,75.0,200.0
DQ0-TB50-TH150,TBZ,1.2593,75.0,200.0
DQ0-TB50-TH150,TBZ,1.3958,75.0,200.0
DQ0-TB50-TH150,TBZ,1.4243,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9837,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6561,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0755,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7516,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3521,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2949,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2759,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2118,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2252,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6652,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5751,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8759,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6962,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8504,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7153,75.0,200.0
DQ0-TB50-TH150,TBZ,1.3203,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9951,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5626,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5256,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6093,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3862,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3337,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1762,75.0,200.0
DQ0-TB50-TH150,TBZ,0.24,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6506,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7226,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4583,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7217,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6472,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9843,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8388,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6233,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1444,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8389,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1369,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1811,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3247,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4815,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0367,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3989,75.0,200.0
DQ0-TB50-TH150,TBZ,1.2022,75.0,200.0
