DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
25.0,50.0,25.0,true,DQ12-TB24-TH12,ternary,0.7849
4.46,71.51,24.03,pred,DQ12-TB24-TH12,ternary,0.7849
,,,,,,
20.0,40.0,40.0,true,DQ12-TB24-TH24,ternary,0.6986
4.97,70.14,24.89,pred,DQ12-TB24-TH24,ternary,0.6986
,,,,,,
80.0,10.0,10.0,true,DQ24-TB3-TH3,ternary,0.9384
75.91,16.16,7.92,pred,DQ24-TB3-TH3,ternary,0.9384
,,,,,,
72.73,9.09,18.18,true,DQ24-TB3-TH6,ternary,0.9534
70.26,13.75,15.99,pred,DQ24-TB3-TH6,ternary,0.9534
,,,,,,
61.54,7.69,30.77,true,DQ24-TB3-TH12,ternary,0.7473
36.27,17.31,46.42,pred,DQ24-TB3-TH12,ternary,0.7473
,,,,,,
47.06,5.88,47.06,true,DQ24-TB3-TH24,ternary,0.7215
19.21,20.82,59.97,pred,DQ24-TB3-TH24,ternary,0.7215
,,,,,,
72.73,18.18,9.09,true,DQ24-TB6-TH3,ternary,0.7931
52.04,35.2,12.76,pred,DQ24-TB6-TH3,ternary,0.7931
,,,,,,
66.67,16.67,16.67,true,DQ24-TB6-TH6,ternary,0.9608
62.75,20.41,16.84,pred,DQ24-TB6-TH6,ternary,0.9608
,,,,,,
57.14,14.29,28.57,true,DQ24-TB6-TH12,ternary,0.8968
67.46,10.71,21.83,pred,DQ24-TB6-TH12,ternary,0.8968
,,,,,,
44.44,11.11,44.44,true,DQ24-TB6-TH24,ternary,0.7662
21.07,26.25,52.68,pred,DQ24-TB6-TH24,ternary,0.7662
,,,,,,
61.54,30.77,7.69,true,DQ24-TB12-TH3,ternary,0.9915
61.3,31.62,7.08,pred,DQ24-TB12-TH3,ternary,0.9915
,,,,,,
57.14,28.57,14.29,true,DQ24-TB12-TH6,ternary,0.8395
41.09,44.43,14.48,pred,DQ24-TB12-TH6,ternary,0.8395
,,,,,,
50.0,25.0,25.0,true,DQ24-TB12-TH12,ternary,0.9361
50.87,18.61,30.52,pred,DQ24-TB12-TH12,ternary,0.9361
,,,,,,
40.0,20.0,40.0,true,DQ24-TB12-TH24,ternary,0.893
50.7,16.82,32.48,pred,DQ24-TB12-TH24,ternary,0.893
,,,,,,
47.06,47.06,5.88,true,DQ24-TB24-TH3,ternary,0.8495
32.33,62.11,5.56,pred,DQ24-TB24-TH3,ternary,0.8495
,,,,,,
44.44,44.44,11.11,true,DQ24-TB24-TH6,ternary,0.7438
18.82,66.61,14.57,pred,DQ24-TB24-TH6,ternary,0.7438
,,,,,,
40.0,40.0,20.0,true,DQ24-TB24-TH12,ternary,0.768
58.45,16.8,24.75,pred,DQ24-TB24-TH12,ternary,0.768
,,,,,,
33.33,33.33,33.33,true,DQ24-TB24-TH24,ternary,0.8482
18.16,44.41,37.43,pred,DQ24-TB24-TH24,ternary,0.8482
,,,,,,
33.33,33.33,33.33,true,DQ33-TB33-TH33,ternary,0.7943
21.2,53.9,24.89,pred,DQ33-TB33-TH33,ternary,0.7943
,,,,,,
4.72,47.64,47.64,true,DQ33-TB333-TH333,ternary,0.5884
15.76,6.48,77.76,pred,DQ33-TB333-TH333,ternary,0.5884
,,,,,,
25.0,0.0,75.0,true,DQ50-TB0-TH150,binary,0.76
1.0,0.26,98.74,pred,DQ50-TB0-TH150,binary,0.76
,,,,,,
16.67,0.0,83.33,true,DQ50-TB0-TH250,binary,0.8694
19.75,9.98,70.27,pred,DQ50-TB0-TH250,binary,0.8694
,,,,,,
9.09,0.0,90.91,true,DQ50-TB0-TH500,binary,0.9602
12.54,0.53,86.93,pred,DQ50-TB0-TH500,binary,0.9602
,,,,,,
25.0,75.0,0.0,true,DQ50-TB150-TH0,binary,0.9672
27.89,71.72,0.39,pred,DQ50-TB150-TH0,binary,0.9672
,,,,,,
16.67,83.33,0.0,true,DQ50-TB250-TH0,binary,0.8377
0.43,98.66,0.9,pred,DQ50-TB250-TH0,binary,0.8377
,,,,,,
9.09,90.91,0.0,true,DQ50-TB500-TH0,binary,0.9093
0.02,99.98,0.0,pred,DQ50-TB500-TH0,binary,0.9093
,,,,,,
33.33,33.33,33.33,true,DQ100-TB100-TH100,ternary,0.3474
1.18,0.22,98.59,pred,DQ100-TB100-TH100,ternary,0.3474
,,,,,,
75.0,0.0,25.0,true,DQ150-TB0-TH50,binary,0.9172
77.94,5.35,16.72,pred,DQ150-TB0-TH50,binary,0.9172
,,,,,,
75.0,25.0,0.0,true,DQ150-TB50-TH0,binary,0.89
64.0,35.38,0.62,pred,DQ150-TB50-TH0,binary,0.89
,,,,,,
83.33,0.0,16.67,true,DQ250-TB0-TH50,binary,0.7312
56.45,3.51,40.04,pred,DQ250-TB0-TH50,binary,0.7312
,,,,,,
83.33,16.67,0.0,true,DQ250-TB50-TH0,binary,0.2577
9.1,90.6,0.31,pred,DQ250-TB50-TH0,binary,0.2577
,,,,,,
47.64,4.72,47.64,true,DQ333-TB33-TH333,ternary,0.5801
9.17,1.2,89.63,pred,DQ333-TB33-TH333,ternary,0.5801
,,,,,,
47.64,47.64,4.72,true,DQ333-TB333-TH33,ternary,0.8367
49.84,31.31,18.85,pred,DQ333-TB333-TH33,ternary,0.8367
,,,,,,
33.33,33.33,33.33,true,DQ333-TB333-TH333,ternary,0.5823
