DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_mlp_Z2
20,22,58,0.5174
20,24,56,0.505
20,26,54,0.496
20,28,52,0.4903
20,30,50,0.4874
20,32,48,0.4872
20,34,46,0.4893
20,36,44,0.4936
20,38,42,0.4997
20,40,40,0.5074
20,42,38,0.5164
20,44,36,0.5262
20,46,34,0.5361
20,48,32,0.5457
20,50,30,0.5543
20,52,28,0.5614
20,54,26,0.5667
20,56,24,0.5699
20,58,22,0.5711
20,60,20,0.5703
20,62,18,0.568
20,64,16,0.5651
20,66,14,0.5626
20,68,12,0.5622
20,70,10,0.5657
20,72,8,0.5752
20,74,6,0.5931
20,76,4,0.6216
20,78,2,0.6622
20,80,0,0.7115
22,0,78,0.7981
22,2,76,0.7725
22,4,74,0.7431
22,6,72,0.7115
22,8,70,0.6794
22,10,68,0.6477
22,12,66,0.6175
22,14,64,0.5896
22,16,62,0.5646
22,18,60,0.5429
22,20,58,0.5248
22,22,56,0.5104
22,24,54,0.4995
22,26,52,0.492
22,28,50,0.4876
22,30,48,0.4861
22,32,46,0.4871
22,34,44,0.4904
22,36,42,0.4956
22,38,40,0.5023
22,40,38,0.5102
22,42,36,0.5189
22,44,34,0.5279
22,46,32,0.5367
22,48,30,0.5447
22,50,28,0.5517
22,52,26,0.5571
22,54,24,0.5607
22,56,22,0.5624
22,58,20,0.5622
22,60,18,0.5605
22,62,16,0.5577
22,64,14,0.5546
22,66,12,0.5523
22,68,10,0.5523
22,70,8,0.556
22,72,6,0.5654
22,74,4,0.5828
22,76,2,0.6116
22,78,0,0.654
24,0,76,0.7843
24,2,74,0.7566
24,4,72,0.7259
24,6,70,0.6939
24,8,68,0.6619
24,10,66,0.6309
24,12,64,0.6018
24,14,62,0.5753
24,16,60,0.5519
24,18,58,0.5321
24,20,56,0.5158
24,22,54,0.5032
24,24,52,0.4942
24,26,50,0.4885
24,28,48,0.4858
24,30,46,0.4858
24,32,44,0.4883
24,34,42,0.4927
24,36,40,0.4987
24,38,38,0.5059
24,40,36,0.5138
24,42,34,0.522
24,44,32,0.5302
24,46,30,0.5378
24,48,28,0.5446
24,50,26,0.5501
24,52,24,0.554
24,54,22,0.5562
24,56,20,0.5567
24,58,18,0.5555
24,60,16,0.5531
24,62,14,0.5498
24,64,12,0.5466
24,66,10,0.5443
24,68,8,0.5441
24,70,6,0.5474
24,72,4,0.5558
24,74,2,0.5719
24,76,0,0.6022
26,0,74,0.7663
26,2,72,0.737
26,4,70,0.7057
26,6,68,0.6738
26,8,66,0.6424
26,10,64,0.6125
26,12,62,0.5849
26,14,60,0.5601
26,16,58,0.5387
26,18,56,0.5209
26,20,54,0.5069
26,22,52,0.4964
26,24,50,0.4895
26,26,48,0.4857
26,28,46,0.4849
26,30,44,0.4867
26,32,42,0.4905
26,34,40,0.4961
26,36,38,0.5029
26,38,36,0.5103
26,40,34,0.5181
26,42,32,0.5258
26,44,30,0.5332
26,46,28,0.5398
26,48,26,0.5454
26,50,24,0.5497
26,52,22,0.5525
26,54,20,0.5537
26,56,18,0.5533
26,58,16,0.5515
26,60,14,0.5486
26,62,12,0.5451
26,64,10,0.5418
26,66,8,0.5395
26,68,6,0.5394
26,70,4,0.5427
26,72,2,0.5515
26,74,0,0.5698
28,0,72,0.7449
28,2,70,0.7148
28,4,68,0.6834
28,6,66,0.652
28,8,64,0.6217
28,10,62,0.5932
28,12,60,0.5673
28,14,58,0.5446
28,16,56,0.5254
28,18,54,0.51
28,20,52,0.4983
28,22,50,0.4903
28,24,48,0.4856
28,26,46,0.4841
28,28,44,0.4852
28,30,42,0.4887
28,32,40,0.494
28,34,38,0.5007
28,36,36,0.508
28,38,34,0.5156
28,40,32,0.5232
28,42,30,0.5304
28,44,28,0.537
28,46,26,0.5429
28,48,24,0.5476
28,50,22,0.551
28,52,20,0.553
28,54,18,0.5535
28,56,16,0.5526
28,58,14,0.5505
28,60,12,0.5475
28,62,10,0.5441
28,64,8,0.5412
28,66,6,0.5395
28,68,4,0.5403
28,70,2,0.5456
28,72,0,0.5583
30,0,70,0.7214
30,2,68,0.6909
30,4,66,0.6598
30,6,64,0.6292
30,8,62,0.6001
30,10,60,0.5733
30,12,58,0.5495
30,14,56,0.5291
30,16,54,0.5124
30,18,52,0.4996
30,20,50,0.4906
30,22,48,0.4851
30,24,46,0.4829
30,26,44,0.4836
30,28,42,0.4868
30,30,40,0.492
30,32,38,0.4987
30,34,36,0.5063
30,36,34,0.5141
30,38,32,0.5217
30,40,30,0.5289
30,42,28,0.5358
30,44,26,0.542
30,46,24,0.5472
30,48,22,0.5514
30,50,20,0.5543
30,52,18,0.5559
30,54,16,0.5561
30,56,14,0.5551
30,58,12,0.5531
30,60,10,0.5504
30,62,8,0.5477
30,64,6,0.5456
30,66,4,0.5454
30,68,2,0.5487
30,70,0,0.5577
32,0,68,0.6967
32,2,66,0.6661
32,4,64,0.6355
32,6,62,0.606
32,8,60,0.5784
32,10,58,0.5535
32,12,56,0.5319
32,14,54,0.5141
32,16,52,0.5003
32,18,50,0.4903
32,20,48,0.4841
32,22,46,0.4813
32,24,44,0.4815
32,26,42,0.4845
32,28,40,0.4896
32,30,38,0.4964
32,32,36,0.5044
32,34,34,0.5128
32,36,32,0.5208
32,38,30,0.5283
32,40,28,0.5355
32,42,26,0.5422
32,44,24,0.5482
32,46,22,0.5532
32,48,20,0.5571
32,50,18,0.5599
32,52,16,0.5614
32,54,14,0.5618
32,56,12,0.5611
32,58,10,0.5596
32,60,8,0.5578
32,62,6,0.5562
32,64,4,0.5557
32,66,2,0.5578
32,68,0,0.5642
34,0,66,0.6713
34,2,64,0.6408
34,4,62,0.611
34,6,60,0.5827
34,8,58,0.5568
34,10,56,0.5341
34,12,54,0.5151
34,14,52,0.5002
34,16,50,0.4893
34,18,48,0.4824
34,20,46,0.4791
34,22,44,0.479
34,24,42,0.4817
34,26,40,0.4867
34,28,38,0.4937
34,30,36,0.5019
34,32,34,0.511
34,34,32,0.5197
34,36,30,0.5279
34,38,28,0.5358
34,40,26,0.5432
34,42,24,0.5499
34,44,22,0.5559
34,46,20,0.561
34,48,18,0.565
34,50,16,0.568
34,52,14,0.5699
34,54,12,0.5708
34,56,10,0.5709
34,58,8,0.5705
34,60,6,0.5698
34,62,4,0.5697
34,64,2,0.5713
34,66,0,0.5758
36,0,64,0.6458
36,2,62,0.6157
36,4,60,0.5868
36,6,58,0.5599
36,8,56,0.5359
36,10,54,0.5157
36,12,52,0.4996
36,14,50,0.4878
36,16,48,0.4802
