DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
41.85,50.5,7.65,pred,DQ12-TB24-TH3,ternary,0.8892
,,,,,,
28.57,57.14,14.29,true,DQ12-TB24-TH6,ternary,0.8925
26.0,67.89,6.11,pred,DQ12-TB24-TH6,ternary,0.8925
,,,,,,
25.0,50.0,25.0,true,DQ12-TB24-TH12,ternary,0.7915
15.68,70.85,13.47,pred,DQ12-TB24-TH12,ternary,0.7915
,,,,,,
20.0,40.0,40.0,true,DQ12-TB24-TH24,ternary,0.82
20.85,57.15,22.0,pred,DQ12-TB24-TH24,ternary,0.82
,,,,,,
80.0,10.0,10.0,true,DQ24-TB3-TH3,ternary,0.807
60.7,24.09,15.21,pred,DQ24-TB3-TH3,ternary,0.807
,,,,,,
72.73,9.09,18.18,true,DQ24-TB3-TH6,ternary,0.8074
53.47,18.68,27.85,pred,DQ24-TB3-TH6,ternary,0.8074
,,,,,,
61.54,7.69,30.77,true,DQ24-TB3-TH12,ternary,0.7397
35.51,10.74,53.75,pred,DQ24-TB3-TH12,ternary,0.7397
,,,,,,
47.06,5.88,47.06,true,DQ24-TB3-TH24,ternary,0.6859
15.65,24.88,59.47,pred,DQ24-TB3-TH24,ternary,0.6859
,,,,,,
72.73,18.18,9.09,true,DQ24-TB6-TH3,ternary,0.82
54.73,28.88,16.39,pred,DQ24-TB6-TH3,ternary,0.82
,,,,,,
66.67,16.67,16.67,true,DQ24-TB6-TH6,ternary,0.8393
50.59,23.43,25.98,pred,DQ24-TB6-TH6,ternary,0.8393
,,,,,,
57.14,14.29,28.57,true,DQ24-TB6-TH12,ternary,0.9808
58.03,12.37,29.6,pred,DQ24-TB6-TH12,ternary,0.9808
,,,,,,
44.44,11.11,44.44,true,DQ24-TB6-TH24,ternary,0.9799
42.44,12.29,45.27,pred,DQ24-TB6-TH24,ternary,0.9799
,,,,,,
61.54,30.77,7.69,true,DQ24-TB12-TH3,ternary,0.9178
53.32,38.28,8.4,pred,DQ24-TB12-TH3,ternary,0.9178
,,,,,,
57.14,28.57,14.29,true,DQ24-TB12-TH6,ternary,0.9829
58.5,26.86,14.64,pred,DQ24-TB12-TH6,ternary,0.9829
,,,,,,
50.0,25.0,25.0,true,DQ24-TB12-TH12,ternary,0.8528
39.33,20.95,39.72,pred,DQ24-TB12-TH12,ternary,0.8528
,,,,,,
40.0,20.0,40.0,true,DQ24-TB12-TH24,ternary,0.9358
46.42,14.25,39.33,pred,DQ24-TB12-TH24,ternary,0.9358
,,,,,,
47.06,47.06,5.88,true,DQ24-TB24-TH3,ternary,0.8646
33.52,57.25,9.23,pred,DQ24-TB24-TH3,ternary,0.8646
,,,,,,
44.44,44.44,11.11,true,DQ24-TB24-TH6,ternary,0.874
31.84,48.55,19.61,pred,DQ24-TB24-TH6,ternary,0.874
,,,,,,
40.0,40.0,20.0,true,DQ24-TB24-TH12,ternary,0.88
38.26,29.75,32.0,pred,DQ24-TB24-TH12,ternary,0.88
,,,,,,
33.33,33.33,33.33,true,DQ24-TB24-TH24,ternary,0.9003
24.25,43.3,32.45,pred,DQ24-TB24-TH24,ternary,0.9003
,,,,,,
33.33,33.33,33.33,true,DQ33-TB33-TH33,ternary,0.8984
27.4,43.5,29.11,pred,DQ33-TB33-TH33,ternary,0.8984
,,,,,,
4.72,47.64,47.64,true,DQ33-TB333-TH333,ternary,0.5954
25.91,7.18,66.91,pred,DQ33-TB333-TH333,ternary,0.5954
,,,,,,
25.0,0.0,75.0,true,DQ50-TB0-TH150,binary,0.9383
18.83,6.13,75.04,pred,DQ50-TB0-TH150,binary,0.9383
,,,,,,
16.67,0.0,83.33,true,DQ50-TB0-TH250,binary,0.838
22.25,10.62,67.13,pred,DQ50-TB0-TH250,binary,0.838
,,,,,,
9.09,0.0,90.91,true,DQ50-TB0-TH500,binary,0.7984
23.95,5.3,70.75,pred,DQ50-TB0-TH500,binary,0.7984
,,,,,,
25.0,75.0,0.0,true,DQ50-TB150-TH0,binary,0.7111
44.92,46.12,8.97,pred,DQ50-TB150-TH0,binary,0.7111
,,,,,,
16.67,83.33,0.0,true,DQ50-TB250-TH0,binary,0.8698
13.81,73.17,13.02,pred,DQ50-TB250-TH0,binary,0.8698
,,,,,,
9.09,90.91,0.0,true,DQ50-TB500-TH0,binary,0.8586
18.48,76.77,4.75,pred,DQ50-TB500-TH0,binary,0.8586
,,,,,,
33.33,33.33,33.33,true,DQ100-TB100-TH100,ternary,0.6835
21.66,13.35,64.99,pred,DQ100-TB100-TH100,ternary,0.6835
,,,,,,
75.0,0.0,25.0,true,DQ150-TB0-TH50,binary,0.7575
50.75,3.62,45.63,pred,DQ150-TB0-TH50,binary,0.7575
,,,,,,
75.0,25.0,0.0,true,DQ150-TB50-TH0,binary,0.9753
72.53,26.99,0.48,pred,DQ150-TB50-TH0,binary,0.9753
,,,,,,
83.33,0.0,16.67,true,DQ250-TB0-TH50,binary,0.5375
37.08,13.43,49.49,pred,DQ250-TB0-TH50,binary,0.5375
,,,,,,
