s,E,thi_share,total
DQ,1.045104510451045,72.72727272727273,33.0
THI,1.55,20.0,15.0
TBZ,1.25,20.0,15.0
DQ,0.475,20.0,15.0
THI,1.4101410141014101,33.33333333333333,18.0
TBZ,0.9900990099009902,33.33333333333333,18.0
DQ,0.6000600060006,33.33333333333333,18.0
THI,1.48,50.0,24.0
TBZ,0.6,50.0,24.0
DQ,0.44,50.0,24.0
THI,1.184940752962352,66.66666666666666,36.0
TBZ,0.4799040191961607,66.66666666666666,36.0
DQ,0.7798440311937612,66.66666666666666,36.0
THI,3.2890132960111966,14.285714285714285,21.0
TBZ,0.8575428771438571,14.285714285714285,21.0
DQ,0.10500525026251313,14.285714285714285,21.0
THI,1.52,25.0,24.0
TBZ,1.08,25.0,24.0
DQ,0.32,25.0,24.0
THI,1.45,40.0,30.0
TBZ,0.775,40.0,30.0
DQ,0.55,40.0,30.0
THI,1.400070003500175,57.14285714285714,42.0
TBZ,0.6650332516625831,57.14285714285714,42.0
DQ,0.06997900629811057,57.14285714285714,42.0
THI,1.7601760176017602,9.090909090909092,33.0
TBZ,1.0174618451808057,9.090909090909092,33.0
DQ,0.49504950495049505,9.090909090909092,33.0
THI,1.439712057588482,16.666666666666664,36.0
TBZ,0.8699565021748913,16.666666666666664,36.0
DQ,1.0797840431913617,16.666666666666664,36.0
THI,1.0150507525376269,28.57142857142857,42.0
TBZ,1.2425621281064052,28.57142857142857,42.0
DQ,0.0,28.57142857142857,42.0
THI,0.9225922592259226,44.44444444444444,54.0
TBZ,1.0576057605760576,44.44444444444444,54.0
DQ,1.08010801080108,44.44444444444444,54.0
THI,1.7101710171017102,33.33333333333333,30.0
TBZ,0.6000600060006,33.33333333333333,30.0
DQ,0.6900690069006901,33.33333333333333,30.0
THI,1.979604079184163,16.666666666666664,18.0
TBZ,2.2795440911817635,16.666666666666664,18.0
DQ,0.4199790010499475,16.666666666666664,18.0
THI,2.1701085054252713,28.57142857142857,21.0
TBZ,2.099370188943317,28.57142857142857,21.0
DQ,0.1400070003500175,28.57142857142857,21.0
THI,1.4851485148514851,44.44444444444444,27.0
TBZ,0.9900990099009902,44.44444444444444,27.0
DQ,0.4950495049504951,44.44444444444444,27.0
THI,1.3324666883327918,61.53846153846154,39.0
TBZ,0.9102730819245773,61.53846153846154,39.0
DQ,0.3574910627234319,61.53846153846154,39.0
THI,1.2596221133659902,14.285714285714285,21.0
TBZ,2.415120756037802,14.285714285714285,21.0
DQ,0.22751137556877843,14.285714285714285,21.0
THI,2.0,25.0,24.0
TBZ,1.48,25.0,24.0
DQ,0.26,25.0,24.0
THI,1.55,40.0,30.0
TBZ,1.45,40.0,30.0
DQ,0.25,40.0,30.0
THI,1.3300665033251662,57.14285714285714,42.0
TBZ,0.41987403778866345,57.14285714285714,42.0
DQ,0.6300315015750787,57.14285714285714,42.0
THI,1.4401440144014401,11.11111111111111,27.0
TBZ,1.5526552655265526,11.11111111111111,27.0
DQ,0.33753375337533753,11.11111111111111,27.0
THI,1.65,20.0,30.0
TBZ,1.1,20.0,30.0
DQ,0.575,20.0,30.0
THI,1.5901590159015901,33.33333333333333,36.0
TBZ,1.3501350135013501,33.33333333333333,36.0
DQ,0.09000900090009001,33.33333333333333,36.0
THI,1.38,50.0,48.0
TBZ,0.88,50.0,48.0
DQ,0.32,50.0,48.0
THI,1.6905071521456436,7.6923076923076925,39.0
TBZ,1.3812154696132597,7.6923076923076925,39.0
DQ,0.06499837504062399,7.6923076923076925,39.0
THI,0.7697690692792163,14.285714285714285,42.0
TBZ,1.5050752537626881,14.285714285714285,42.0
DQ,0.10500525026251313,14.285714285714285,42.0
THI,1.48,25.0,48.0
TBZ,1.26,25.0,48.0
DQ,0.0,25.0,48.0
THI,1.05,40.0,60.0
TBZ,1.4,40.0,60.0
DQ,0.1,40.0,60.0
THI,2.8,10.0,30.0
TBZ,1.1,10.0,30.0
DQ,0.7625,10.0,30.0
THI,2.75027502750275,18.181818181818183,33.0
TBZ,0.7700770077007701,18.181818181818183,33.0
DQ,0.5912278289564141,18.181818181818183,33.0
THI,2.6649333766655836,30.76923076923077,39.0
TBZ,0.2600780234070221,30.76923076923077,39.0
DQ,0.24374390640233995,30.76923076923077,39.0
THI,1.6787080322991925,47.05882352941176,51.0
TBZ,0.6802721088435374,47.05882352941176,51.0
DQ,0.36124096897577557,47.05882352941176,51.0
THI,1.7601760176017602,9.090909090909092,33.0
TBZ,1.4301430143014302,9.090909090909092,33.0
DQ,0.7974700948714423,9.090909090909092,33.0
THI,2.579484103179364,16.666666666666664,36.0
TBZ,1.319736052789442,16.666666666666664,36.0
DQ,0.5249737513124344,16.666666666666664,36.0
THI,1.575078753937697,28.57142857142857,42.0
TBZ,0.41987403778866345,28.57142857142857,42.0
DQ,0.840042002100105,28.57142857142857,42.0
THI,1.6426642664266426,44.44444444444444,54.0
TBZ,0.36003600360036003,44.44444444444444,54.0
DQ,0.4950495049504951,44.44444444444444,54.0
THI,1.8205461638491547,7.6923076923076925,39.0
TBZ,1.2999675008124798,7.6923076923076925,39.0
DQ,0.7312317192070198,7.6923076923076925,39.0
THI,1.959412176347096,14.285714285714285,42.0
TBZ,0.840042002100105,14.285714285714285,42.0
DQ,0.840042002100105,14.285714285714285,42.0
THI,2.56,25.0,48.0
TBZ,0.44,25.0,48.0
DQ,0.5,25.0,48.0
THI,1.5,40.0,60.0
TBZ,0.55,40.0,60.0
DQ,0.725,40.0,60.0
THI,2.2108843537414966,5.88235294117647,51.0
TBZ,1.6362090947726307,5.88235294117647,51.0
DQ,0.21249468763280918,5.88235294117647,51.0
THI,2.7002700270027002,11.11111111111111,54.0
TBZ,1.3051305130513051,11.11111111111111,54.0
DQ,0.24752475247524755,11.11111111111111,54.0
THI,2.55,20.0,60.0
TBZ,0.625,20.0,60.0
DQ,0.6,20.0,60.0
THI,1.5301530153015301,33.33333333333333,72.0
TBZ,1.3501350135013501,33.33333333333333,72.0
DQ,0.12001200120012002,33.33333333333333,72.0
THI,1.2001200120012,33.33333333333333,99.0
TBZ,1.5901590159015901,33.33333333333333,99.0
DQ,0.21002100210021002,33.33333333333333,99.0
THI,2.0990764063811924,47.63948497854077,699.0
TBZ,0.0,47.63948497854077,699.0
DQ,0.0,47.63948497854077,699.0
THI,1.3333333333333333,75.0,200.0
DQ,0.0,75.0,200.0
THI,1.2000480019200768,83.33333333333334,300.0
DQ,0.0,83.33333333333334,300.0
THI,1.099989000109999,90.9090909090909,550.0
DQ,0.0,90.9090909090909,550.0
TBZ,1.0133333333333334,0.0,200.0
DQ,0.96,0.0,200.0
TBZ,1.1280451218048722,0.0,300.0
DQ,0.3599280143971205,0.0,300.0
TBZ,1.055989440105599,0.0,550.0
DQ,0.44004400440044006,0.0,550.0
THI,3.0003000300030003,33.33333333333333,300.0
TBZ,0.0,33.33333333333333,300.0
DQ,0.0,33.33333333333333,300.0
THI,2.72,25.0,200.0
DQ,0.4266666666666667,25.0,200.0
TBZ,1.16,0.0,200.0
DQ,0.9466666666666667,0.0,200.0
THI,5.638872225554889,16.666666666666664,300.0
DQ,0.07200288011520461,16.666666666666664,300.0
TBZ,5.278944211157768,0.0,300.0
DQ,0.14400576023040923,0.0,300.0
THI,2.0990764063811924,47.63948497854077,699.0
TBZ,0.0,47.63948497854077,699.0
DQ,0.0,47.63948497854077,699.0
THI,7.203389830508475,4.721030042918455,699.0
TBZ,0.5457598656591099,4.721030042918455,699.0
DQ,0.8396305625524769,4.721030042918455,699.0
THI,2.8802880288028803,33.33333333333333,999.0
TBZ,0.06000600060006001,33.33333333333333,999.0
DQ,0.06000600060006001,33.33333333333333,999.0
THI,4.84048404840484,9.090909090909092,550.0
DQ,0.6159938400615994,9.090909090909092,550.0
THI,1.96,50.0,1000.0
DQ,0.04,50.0,1000.0
TBZ,9.460946094609461,0.0,550.0
DQ,0.15399846001539985,0.0,550.0
TBZ,0.76,0.0,1000.0
DQ,1.24,0.0,1000.0
