DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_nnls_Z2,data_density_alpha
3,93,4,0.8120,0.1159
3,94,3,0.8157,0.1059
3,95,2,0.8194,0.0965
3,96,1,0.8232,0.0876
3,97,0,0.8271,0.0792
4,0,96,0.6412,0.0870
4,1,95,0.6473,0.0961
4,2,94,0.6532,0.1057
4,3,93,0.6589,0.1159
4,4,92,0.6645,0.1265
4,5,91,0.6698,0.1377
4,6,90,0.6748,0.1492
4,7,89,0.6797,0.1613
4,8,88,0.6843,0.1736
4,9,87,0.6887,0.1864
4,10,86,0.6929,0.1994
4,11,85,0.6969,0.2126
4,12,84,0.7006,0.2260
4,13,83,0.7042,0.2395
4,14,82,0.7075,0.2530
4,15,81,0.7107,0.2666
4,16,80,0.7136,0.2800
4,17,79,0.7165,0.2934
4,18,78,0.7192,0.3066
4,19,77,0.7218,0.3196
4,20,76,0.7243,0.3323
4,21,75,0.7267,0.3446
4,22,74,0.7291,0.3567
4,23,73,0.7314,0.3683
4,24,72,0.7338,0.3795
4,25,71,0.7361,0.3903
4,26,70,0.7386,0.4007
4,27,69,0.7410,0.4105
4,28,68,0.7436,0.4199
4,29,67,0.7462,0.4288
4,30,66,0.7489,0.4371
4,31,65,0.7517,0.4450
4,32,64,0.7546,0.4524
4,33,63,0.7576,0.4593
4,34,62,0.7607,0.4657
4,35,61,0.7638,0.4716
4,36,60,0.7670,0.4771
4,37,59,0.7702,0.4820
4,38,58,0.7734,0.4866
4,39,57,0.7766,0.4906
4,40,56,0.7797,0.4943
4,41,55,0.7827,0.4974
4,42,54,0.7855,0.5002
4,43,53,0.7882,0.5025
4,44,52,0.7907,0.5044
4,45,51,0.7929,0.5059
4,46,50,0.7949,0.5069
4,47,49,0.7965,0.5076
4,48,48,0.7979,0.5078
4,49,47,0.7989,0.5076
4,50,46,0.7996,0.5069
4,51,45,0.7999,0.5059
4,52,44,0.7999,0.5044
4,53,43,0.7996,0.5025
4,54,42,0.7989,0.5002
4,55,41,0.7980,0.4974
4,56,40,0.7967,0.4943
4,57,39,0.7953,0.4906
4,58,38,0.7936,0.4866
4,59,37,0.7917,0.4820
4,60,36,0.7897,0.4771
4,61,35,0.7876,0.4716
4,62,34,0.7855,0.4657
4,63,33,0.7833,0.4593
4,64,32,0.7811,0.4524
4,65,31,0.7790,0.4450
4,66,30,0.7770,0.4371
4,67,29,0.7752,0.4288
4,68,28,0.7734,0.4199
4,69,27,0.7719,0.4105
4,70,26,0.7706,0.4007
4,71,25,0.7695,0.3903
4,72,24,0.7687,0.3795
4,73,23,0.7681,0.3683
4,74,22,0.7679,0.3567
4,75,21,0.7678,0.3446
4,76,20,0.7681,0.3323
4,77,19,0.7686,0.3196
4,78,18,0.7695,0.3066
4,79,17,0.7706,0.2934
4,80,16,0.7719,0.2800
4,81,15,0.7735,0.2666
4,82,14,0.7754,0.2530
4,83,13,0.7775,0.2395
4,84,12,0.7798,0.2260
4,85,11,0.7823,0.2126
4,86,10,0.7850,0.1994
4,87,9,0.7879,0.1864
4,88,8,0.7910,0.1736
4,89,7,0.7942,0.1613
4,90,6,0.7976,0.1492
4,91,5,0.8011,0.1377
4,92,4,0.8047,0.1265
4,93,3,0.8083,0.1159
4,94,2,0.8121,0.1057
4,95,1,0.8160,0.0961
4,96,0,0.8199,0.0870
5,0,95,0.6483,0.0953
5,1,94,0.6542,0.1050
5,2,93,0.6599,0.1154
5,3,92,0.6653,0.1262
5,4,91,0.6706,0.1377
5,5,90,0.6757,0.1496
5,6,89,0.6805,0.1619
5,7,88,0.6851,0.1747
5,8,87,0.6895,0.1879
5,9,86,0.6936,0.2014
5,10,85,0.6975,0.2152
5,11,84,0.7013,0.2292
5,12,83,0.7048,0.2433
5,13,82,0.7081,0.2576
5,14,81,0.7112,0.2718
5,15,80,0.7141,0.2861
5,16,79,0.7169,0.3003
5,17,78,0.7195,0.3143
5,18,77,0.7220,0.3281
5,19,76,0.7244,0.3417
5,20,75,0.7268,0.3549
5,21,74,0.7290,0.3679
5,22,73,0.7313,0.3804
5,23,72,0.7335,0.3925
5,24,71,0.7357,0.4042
5,25,70,0.7379,0.4154
5,26,69,0.7402,0.4261
5,27,68,0.7426,0.4363
5,28,67,0.7450,0.4460
5,29,66,0.7476,0.4552
5,30,65,0.7502,0.4638
5,31,64,0.7529,0.4719
5,32,63,0.7556,0.4795
5,33,62,0.7585,0.4866
5,34,61,0.7615,0.4931
5,35,60,0.7644,0.4992
5,36,59,0.7675,0.5047
5,37,58,0.7705,0.5098
5,38,57,0.7735,0.5144
5,39,56,0.7764,0.5185
5,40,55,0.7792,0.5221
5,41,54,0.7820,0.5253
5,42,53,0.7845,0.5280
5,43,52,0.7869,0.5302
5,44,51,0.7890,0.5320
5,45,50,0.7909,0.5333
5,46,49,0.7925,0.5342
5,47,48,0.7938,0.5347
5,48,47,0.7948,0.5347
5,49,46,0.7955,0.5342
5,50,45,0.7958,0.5333
5,51,44,0.7958,0.5320
5,52,43,0.7954,0.5302
5,53,42,0.7948,0.5280
5,54,41,0.7938,0.5253
5,55,40,0.7926,0.5221
5,56,39,0.7911,0.5185
5,57,38,0.7893,0.5144
5,58,37,0.7874,0.5098
5,59,36,0.7854,0.5047
5,60,35,0.7832,0.4992
5,61,34,0.7810,0.4931
5,62,33,0.7787,0.4866
5,63,32,0.7765,0.4795
5,64,31,0.7743,0.4719
5,65,30,0.7721,0.4638
5,66,29,0.7701,0.4552
5,67,28,0.7683,0.4460
5,68,27,0.7666,0.4363
5,69,26,0.7652,0.4261
5,70,25,0.7639,0.4154
5,71,24,0.7629,0.4042
5,72,23,0.7622,0.3925
5,73,22,0.7618,0.3804
5,74,21,0.7616,0.3679
5,75,20,0.7617,0.3549
5,76,19,0.7621,0.3417
5,77,18,0.7628,0.3281
5,78,17,0.7638,0.3143
5,79,16,0.7650,0.3003
5,80,15,0.7665,0.2861
5,81,14,0.7683,0.2718
5,82,13,0.7703,0.2576
5,83,12,0.7725,0.2433
5,84,11,0.7749,0.2292
5,85,10,0.7776,0.2152
5,86,9,0.7805,0.2014
5,87,8,0.7835,0.1879
5,88,7,0.7867,0.1747
5,89,6,0.7900,0.1619
5,90,5,0.7935,0.1496
5,91,4,0.7971,0.1377
5,92,3,0.8008,0.1262
5,93,2,0.8046,0.1154
5,94,1,0.8085,0.1050
5,95,0,0.8124,0.0953
6,0,94,0.6552,0.1039
6,1,93,0.6609,0.1144
6,2,92,0.6663,0.1254
6,3,91,0.6716,0.1371
6,4,90,0.6766,0.1492
6,5,89,0.6814,0.1619
6,6,88,0.6860,0.1751
6,7,87,0.6903,0.1887
6,8,86,0.6944,0.2027
6,9,85,0.6983,0.2169
6,10,84,0.7020,0.2315
6,11,83,0.7055,0.2463
6,12,82,0.7087,0.2612
6,13,81,0.7118,0.2762
6,14,80,0.7147,0.2912
6,15,79,0.7174,0.3061
6,16,78,0.7200,0.3209
6,17,77,0.7224,0.3356
6,18,76,0.7247,0.3500
6,19,75,0.7270,0.3642
6,20,74,0.7291,0.3780
6,21,73,0.7312,0.3915
6,22,72,0.7333,0.4045
6,23,71,0.7354,0.4171
6,24,70,0.7375,0.4292
6,25,69,0.7396,0.4408
6,26,68,0.7418,0.4519
6,27,67,0.7441,0.4624
6,28,66,0.7464,0.4724
6,29,65,0.7488,0.4818
6,30,64,0.7513,0.4907
6,31,63,0.7539,0.4991
6,32,62,0.7566,0.5069
6,33,61,0.7593,0.5141
6,34,60,0.7621,0.5208
6,35,59,0.7649,0.5270
6,36,58,0.7677,0.5326
6,37,57,0.7705,0.5377
6,38,56,0.7733,0.5423
6,39,55,0.7760,0.5464
6,40,54,0.7785,0.5500
6,41,53,0.7810,0.5532
6,42,52,0.7832,0.5558
6,43,51,0.7853,0.5579
6,44,50,0.7871,0.5596
6,45,49,0.7886,0.5608
6,46,48,0.7899,0.5615
6,47,47,0.7908,0.5617
6,48,46,0.7914,0.5615
6,49,45,0.7917,0.5608
6,50,44,0.7917,0.5596
6,51,43,0.7913,0.5579
6,52,42,0.7906,0.5558
6,53,41,0.7897,0.5532
6,54,40,0.7884,0.5500
6,55,39,0.7869,0.5464
6,56,38,0.7851,0.5423
6,57,37,0.7832,0.5377
6,58,36,0.7811,0.5326
6,59,35,0.7788,0.5270
6,60,34,0.7765,0.5208
6,61,33,0.7742,0.5141
6,62,32,0.7718,0.5069
6,63,31,0.7695,0.4991
6,64,30,0.7673,0.4907
6,65,29,0.7651,0.4818
6,66,28,0.7631,0.4724
6,67,27,0.7613,0.4624
