variant,subset,n_maps,binary_auc,component,recovery_mean,recovery_sd,recovery_median,mean_abs_recovery_error,within_80_120,macro_mean_recovery,macro_abs_mean_bias,macro_mean_abs_recovery_error
maponly_128_32_meantrain__testpool_median,ternary,68,,DQ,124.13814141788426,74.7490286317943,108.29784759759832,49.385871701382655,0.36764705882352944,115.79004486530035,15.790044865300345,46.870447154212435
maponly_128_32_meantrain__testpool_median,ternary,68,,TBZ,111.35568860849024,91.91797067572219,85.49058178226743,52.830025306999616,0.27941176470588236,115.79004486530035,15.790044865300345,46.870447154212435
maponly_128_32_meantrain__testpool_median,ternary,68,,THI,111.87630456952654,52.663315204835826,103.10640161180868,38.39544445425504,0.35294117647058826,115.79004486530035,15.790044865300345,46.870447154212435
maponly_64_32_meantrain__testpool_mean,all,89,,DQ,94.87422648851596,50.89605935088917,88.76189943457007,37.52903423806473,0.3780487804878049,116.71917958513006,20.13636192611943,45.29816300709715
maponly_64_32_meantrain__testpool_mean,all,89,,TBZ,119.70766237270232,84.34854262370762,100.84065709871284,51.82192746546076,0.32926829268292684,116.71917958513006,20.13636192611943,45.29816300709715
maponly_64_32_meantrain__testpool_mean,all,89,,THI,135.57564989417193,61.194086345316016,121.56281097677358,46.54352731776599,0.3780487804878049,116.71917958513006,20.13636192611943,45.29816300709715
maponly_64_32_meantrain__testpool_mean,binary,21,0.8820861678004535,DQ,71.04673974602817,58.98899751554367,58.925362612052126,57.68450063965732,0.07142857142857142,120.84374013249003,40.145913635137916,71.12748800357996
maponly_64_32_meantrain__testpool_mean,binary,21,0.8820861678004535,TBZ,142.28100117409133,157.59461504779503,81.71658954237219,95.27781052837746,0.21428571428571427,120.84374013249003,40.145913635137916,71.12748800357996
maponly_64_32_meantrain__testpool_mean,binary,21,0.8820861678004535,THI,149.20347947735058,90.30924321831664,122.06213949304907,60.42015284270509,0.42857142857142855,120.84374013249003,40.145913635137916,71.12748800357996
maponly_64_32_meantrain__testpool_mean,ternary,68,,DQ,99.77988552373404,48.098476810461804,91.49758750560821,33.37937939067802,0.4411764705882353,115.87000535479126,16.016748338968565,39.98036080193893
maponly_64_32_meantrain__testpool_mean,ternary,68,,TBZ,115.06021026653399,60.448262714320755,102.60109323804582,42.87512801133084,0.35294117647058826,115.87000535479126,16.016748338968565,39.98036080193893
maponly_64_32_meantrain__testpool_mean,ternary,68,,THI,132.76992027410574,53.83249140057017,121.56281097677358,43.68657500380794,0.36764705882352944,115.87000535479126,16.016748338968565,39.98036080193893
maponly_64_32_meantrain__testpool_bin8,all,89,,DQ,89.4806400402064,50.674132921209946,80.6521009631795,39.027153501474494,0.3048780487804878,117.03572693529959,24.04863357516201,47.03642349557654
maponly_64_32_meantrain__testpool_bin8,all,89,,TBZ,117.04744696484562,81.92539345767355,101.99525065716868,49.89411333763117,0.34146341463414637,117.03572693529959,24.04863357516201,47.03642349557654
maponly_64_32_meantrain__testpool_bin8,all,89,,THI,144.5790938008468,72.62170120854668,122.04957594191548,52.188003647623965,0.3902439024390244,117.03572693529959,24.04863357516201,47.03642349557654
maponly_64_32_meantrain__testpool_bin8,binary,21,0.891156462585034,DQ,68.92402053913841,59.89496753322276,56.93328706454949,60.47754990112653,0.0,123.05046019381041,43.767779834384804,74.1463157165435
maponly_64_32_meantrain__testpool_bin8,binary,21,0.891156462585034,TBZ,133.43685629521164,155.09935931218664,81.36459249707046,91.0999510416973,0.21428571428571427,123.05046019381041,43.767779834384804,74.1463157165435
maponly_64_32_meantrain__testpool_bin8,binary,21,0.891156462585034,THI,166.79050374708117,105.74648860600226,124.02159843753688,70.86144620680666,0.35714285714285715,123.05046019381041,43.767779834384804,74.1463157165435
maponly_64_32_meantrain__testpool_bin8,ternary,68,,DQ,93.71288523160275,47.978064194228146,83.49511761236445,34.6108954191932,0.36764705882352944,115.79739949972385,19.988809345322025,41.454975097142174
maponly_64_32_meantrain__testpool_bin8,ternary,68,,TBZ,113.67315680859383,58.12916858816592,106.16659164856028,41.41055851620578,0.36764705882352944,115.79739949972385,19.988809345322025,41.454975097142174
maponly_64_32_meantrain__testpool_bin8,ternary,68,,THI,140.006156458975,63.88980936997045,121.41608741205286,48.343471356027536,0.39705882352941174,115.79739949972385,19.988809345322025,41.454975097142174
maponly_64_32_meantrain__testpool_trimmed10,all,89,,DQ,94.4635551007664,50.513778818676585,89.23300267417237,37.07041316168547,0.4024390243902439,116.0529548419449,19.743918108100644,45.036435363675785
maponly_64_32_meantrain__testpool_trimmed10,all,89,,TBZ,119.51379645122807,84.73172654331519,99.82907075807037,52.24967949965653,0.3170731707317073,116.0529548419449,19.743918108100644,45.036435363675785
maponly_64_32_meantrain__testpool_trimmed10,all,89,,THI,134.18151297384026,59.85816882477938,121.4070696197304,45.78921342968535,0.3780487804878049,116.0529548419449,19.743918108100644,45.036435363675785
maponly_64_32_meantrain__testpool_trimmed10,binary,21,0.8786848072562358,DQ,71.3962180072303,60.28362029331605,58.25013698220289,58.23865845737846,0.07142857142857142,120.35518814539233,39.424376140572136,71.36467135364296
maponly_64_32_meantrain__testpool_trimmed10,binary,21,0.8786848072562358,TBZ,142.9854934100877,158.74386883253786,82.84561231585806,97.30817535281982,0.21428571428571427,120.35518814539233,39.424376140572136,71.36467135364296
