method,subset,n,mean_deviation_pp,se_deviation_pp,accuracy_at_10pp,component,recovery_mean_pct,recovery_sd_pct,recovery_se_pct,recovery_median_pct,recovery_within_80_120
rf,all,89,16.920684652819048,1.0570383577071973,0.24719101123595505,TBZ,123.46989894720731,71.35517841354383,7.879861245550591,104.201655605605,0.4024390243902439
rf,all,89,16.920684652819048,1.0570383577071973,0.24719101123595505,THI,124.89431491222228,66.03081267788679,7.291883411981362,103.42830384557088,0.3902439024390244
rf,binary,21,27.811890749269217,2.0117325309073046,0.0,DQ,118.52609613620642,81.20379509512853,21.702627125126085,93.29746287524708,0.14285714285714285
rf,binary,21,27.811890749269217,2.0117325309073046,0.0,TBZ,120.50356736093522,109.39845023089326,29.237965672003085,76.44354607846373,0.14285714285714285
rf,binary,21,27.811890749269217,2.0117325309073046,0.0,THI,138.99877966122833,92.24950658771431,24.6547176964409,100.34921695970402,0.2857142857142857
rf,ternary,68,13.557223946562384,0.9121773970845537,0.3235294117647059,DQ,130.43732548918936,78.08378724426183,9.469050072245542,107.39598262837046,0.39705882352941174
rf,ternary,68,13.557223946562384,0.9121773970845537,0.3235294117647059,TBZ,124.08061427379276,61.895875327499304,7.505977404862993,108.18060893585147,0.45588235294117646
rf,ternary,68,13.557223946562384,0.9121773970845537,0.3235294117647059,THI,121.99045452272105,59.7479020412668,7.2454973830941185,103.96996749033146,0.4117647058823529
cnn,all,89,19.997144430724916,1.4953697492904279,0.21348314606741572,DQ,122.10563403773112,83.20161864121702,9.188081718446995,100.79947428122635,0.2804878048780488
cnn,all,89,19.997144430724916,1.4953697492904279,0.21348314606741572,TBZ,119.82942101165824,98.81333455916997,10.912107331913512,94.77761299412192,0.4268292682926829
cnn,all,89,19.997144430724916,1.4953697492904279,0.21348314606741572,THI,133.70667643014608,92.61242469253503,10.227331392288443,96.93556782700875,0.34146341463414637
cnn,binary,21,32.18359416748013,4.307261950669352,0.047619047619047616,DQ,92.81127562114966,64.93573959468324,17.35480640857683,77.22820065294704,0.14285714285714285
cnn,binary,21,32.18359416748013,4.307261950669352,0.047619047619047616,TBZ,143.53526889679878,198.60719384498242,53.08000527975161,75.82768038006142,0.21428571428571427
cnn,binary,21,32.18359416748013,4.307261950669352,0.047619047619047616,THI,160.92674390696797,158.43305014688033,42.34301374222865,87.88003765042149,0.42857142857142855
cnn,ternary,68,16.233682012021102,1.1125722562731277,0.2647058823529412,DQ,128.13682547643907,85.64235359361973,10.385660879205599,103.95891218808131,0.3088235294117647
cnn,ternary,68,16.233682012021102,1.1125722562731277,0.2647058823529412,TBZ,114.94880527059988,63.31868298429806,7.678518177037075,101.29152928800679,0.47058823529411764
cnn,ternary,68,16.233682012021102,1.1125722562731277,0.2647058823529412,THI,128.10254489080037,72.88509389479938,8.838615901803493,102.60124487434757,0.3235294117647059
mlp,all,89,16.764611494144265,1.1739207150774285,0.3258426966292135,DQ,106.56856027091112,59.12534335693733,6.529301896605879,98.93769889234858,0.43902439024390244
mlp,all,89,16.764611494144265,1.1739207150774285,0.3258426966292135,TBZ,127.300671086603,87.3011662101286,9.640801012698327,104.52279828526147,0.2804878048780488
mlp,all,89,16.764611494144265,1.1739207150774285,0.3258426966292135,THI,122.98185228243067,60.50124772028783,6.681245115183715,104.62571102541439,0.4268292682926829
mlp,binary,21,23.421145139039414,3.337929486703,0.23809523809523808,DQ,79.9768933119988,48.691749698914506,13.013417495420807,62.90068415400553,0.2857142857142857
mlp,binary,21,23.421145139039414,3.337929486703,0.23809523809523808,TBZ,135.40255319885532,139.7091972732418,37.338853569834505,83.7545797079896,0.21428571428571427
mlp,binary,21,23.421145139039414,3.337929486703,0.23809523809523808,THI,139.40228330173179,92.28886635625251,24.665237037061807,110.94767027017143,0.5
mlp,ternary,68,14.70891728027959,1.0366206095422372,0.35294117647058826,DQ,112.0433152330401,59.90053764334693,7.264007168670769,103.32597520766363,0.47058823529411764
mlp,ternary,68,14.70891728027959,1.0366206095422372,0.35294117647058826,TBZ,125.63263653408046,73.55475571697187,8.91982432610528,115.41264129010018,0.29411764705882354
mlp,ternary,68,14.70891728027959,1.0366206095422372,0.35294117647058826,THI,119.60117530786869,52.00694955693641,6.3067690085123065,104.17253926367401,0.4117647058823529
