baseline,component,fold,intercept_log10,model,multiplicative_factor,ratio_slope,slope_log10,total_slope
pie_partition_above_intercept,TBZ,1,0.8787338581502243,power_huber,7.563692391155444,,1.3933507790964657,
pie_partition_above_intercept,TBZ,1,0.39863310243084493,competition_ridge,2.5039929537373373,0.38702800627952627,0.6229622826039828,0.6896604969354598
pie_partition_above_intercept,THI,1,0.6518925183047365,constant_factor,4.486343455855806,,1.0,
pie_partition_above_intercept,THI,1,0.6552133096549091,power_huber,4.520779340936905,,0.9889391609798364,
pie_partition_above_intercept,THI,1,0.5449015447136863,competition_ridge,3.506723669279049,0.08030108659148034,0.6654961736188744,0.3477153947781135
pie_partition_above_intercept,DQ,2,0.9747458136314228,constant_factor,9.435084925813102,,1.0,
pie_partition_above_intercept,DQ,2,0.8802185959579023,power_huber,7.589594903830339,,1.1977133890685092,
pie_partition_above_intercept,DQ,2,0.1016455063344468,competition_ridge,1.2637044253246978,1.4923467115968077,0.1485419342547753,0.7559828047253992
pie_partition_above_intercept,TBZ,2,0.9744837939155178,constant_factor,9.429394241809243,,1.0,
pie_partition_above_intercept,TBZ,2,0.9108358342867441,power_huber,8.143963794994237,,1.1902468400471793,
pie_partition_above_intercept,TBZ,2,0.5534873566376921,competition_ridge,3.576739876704187,0.31482731760567917,0.5246592502414069,0.5947401082186714
pie_partition_above_intercept,THI,2,0.6327705779351664,constant_factor,4.293095781317066,,1.0,
pie_partition_above_intercept,THI,2,0.6628302271598432,power_huber,4.600766868961194,,0.9308766854375015,
pie_partition_above_intercept,THI,2,0.6131019170258171,competition_ridge,4.103003779560895,0.05526708976399631,0.6355302451268608,0.2566218888380463
pie_partition_above_intercept,DQ,3,0.8834006843637039,constant_factor,7.645408311818662,,1.0,
pie_partition_above_intercept,DQ,3,0.8396256976721576,power_huber,6.9123496430517495,,1.2483923872982297,
pie_partition_above_intercept,DQ,3,0.04497300028095985,competition_ridge,1.1091058609497326,1.2210855516727825,0.31610040868965206,0.8148748791708176
pie_partition_above_intercept,TBZ,3,0.9521395360952984,constant_factor,8.956524868565372,,1.0,
pie_partition_above_intercept,TBZ,3,0.874030458204732,power_huber,7.4822197342959225,,1.2540827536167938,
pie_partition_above_intercept,TBZ,3,0.5799929920836654,competition_ridge,3.801832615108973,0.41653671243254053,0.5823873742318187,0.4087362710607685
pie_partition_above_intercept,THI,3,0.6183616995882827,constant_factor,4.152997786043872,,1.0,
pie_partition_above_intercept,THI,3,0.6415103662263258,power_huber,4.380365665921667,,0.9505679948283542,
pie_partition_above_intercept,THI,3,0.5395058948541221,competition_ridge,3.4634258562394433,-0.03103428823942253,0.5972597761251989,0.369873090489835
pie_partition_above_intercept,DQ,4,1.0298962704084558,constant_factor,10.712634074726536,,1.0,
pie_partition_above_intercept,DQ,4,1.0335811108128548,power_huber,10.803913808490119,,0.8726005073228618,
pie_partition_above_intercept,DQ,4,0.15315720192228355,competition_ridge,1.4228437218058352,1.3905739893809739,0.15795125275231833,0.7621281233865976
pie_partition_above_intercept,TBZ,4,0.9992228177577593,constant_factor,9.982120720054406,,1.0,
pie_partition_above_intercept,TBZ,4,0.9237629775596197,power_huber,8.39001964193135,,1.3353017507570542,
pie_partition_above_intercept,TBZ,4,0.5601644878277439,competition_ridge,3.63215595619003,0.45637106418710255,0.5885602190324896,0.5312820592324354
pie_partition_above_intercept,THI,4,0.6523034640575478,constant_factor,4.4905906116530545,,1.0,
pie_partition_above_intercept,THI,4,0.6965541489770892,power_huber,4.9722636535019085,,0.9017811541514512,
pie_partition_above_intercept,THI,4,0.6940353478570944,competition_ridge,4.943509212871557,0.14765897683465906,0.6819773679797487,0.11819701718749688
pie_partition_above_intercept,DQ,5,0.9873194051914839,constant_factor,9.71223998746126,,1.0,
pie_partition_above_intercept,DQ,5,0.9839915169399861,power_huber,9.638101973668135,,0.6548483508700903,
pie_partition_above_intercept,DQ,5,0.19952360793325785,competition_ridge,1.5831556235596431,1.316926678704127,-0.042571503789809374,0.6977490440244183
pie_partition_above_intercept,TBZ,5,0.7816823138177638,constant_factor,6.048982301432813,,1.0,
pie_partition_above_intercept,TBZ,5,0.7831299620059882,power_huber,6.069179217413812,,1.3937198669436988,
pie_partition_above_intercept,TBZ,5,0.3291181643532871,competition_ridge,2.1336253583873326,0.30739824269705074,0.6791051439979211,0.6801182918629953
pie_partition_above_intercept,THI,5,0.6487465368533948,constant_factor,4.453962301748344,,1.0,
pie_partition_above_intercept,THI,5,0.6686042316270064,power_huber,4.662343118313234,,0.9229168007867572,
pie_partition_above_intercept,THI,5,0.5495899498825959,competition_ridge,3.5447854130215717,0.03475133717580528,0.5998430687952485,0.34033041940695963
