method,subset,component,n,recovery_mean_pct,recovery_median_pct,recovery_q1_pct,recovery_q3_pct,median_abs_recovery_error_pct,within_80_120_pct,mae_uM,pearson_r,ccc
direct_band_calibration__competition_ridge,low_grid64,THI,64,155.24577805841506,137.5119282876002,96.15524163169971,179.28359111988198,44.3060398663884,20.3125,9.434831086174544,0.8016851129809346,0.34879695624218765
direct_band_calibration__competition_ridge,max100,DQ,64,221.89219698085844,144.40089398332455,107.13277510184642,255.6815852955585,46.27481467934655,25.0,6.9187185926087995,0.5014949524545592,0.40926844482669555
direct_band_calibration__competition_ridge,max100,TBZ,64,231.80706702808425,174.1491685056776,112.53908970028621,302.85694073054265,74.90949621788992,18.75,10.43367821495276,0.5414447394175794,0.34559503956226173
direct_band_calibration__competition_ridge,max100,THI,64,155.24577805841506,137.5119282876002,96.15524163169971,179.28359111988198,44.3060398663884,20.3125,9.434831086174544,0.8016851129809346,0.34879695624218765
direct_band_calibration__competition_ridge,binary,DQ,14,29.738933726798248,11.994281124970653,9.359387642061174,33.940057692616044,88.00571887502934,0.0,195.2696280363666,0.11355617371608324,0.011892436048122882
direct_band_calibration__competition_ridge,binary,TBZ,14,22.294411477286452,18.025775592715533,9.706690561395604,35.4187809216931,81.97422440728447,0.0,187.71426668931807,0.3817354859155457,0.11065797427850105
direct_band_calibration__competition_ridge,binary,THI,14,58.05390219863354,32.82225096316781,20.000100717437107,105.7791719724115,69.0525833721531,7.142857142857142,153.46037530311338,0.5861380428166822,0.16496329601492302
direct_band_calibration__competition_ridge,ternary,DQ,68,210.55239245262217,137.12695287099274,99.43127057780039,239.2465468703128,49.336926070379405,25.0,19.746597170717155,0.5688826125632434,0.12248552832897104
direct_band_calibration__competition_ridge,ternary,TBZ,68,219.1643105115955,154.308714169724,107.5588999491587,300.9442072420782,88.8902600852152,17.647058823529413,24.107381095082662,0.3390807208318835,-0.0015217858314388682
direct_band_calibration__competition_ridge,ternary,THI,68,148.16219173614635,132.5187934126073,88.96565366232461,177.58751497257379,48.32385924641419,19.11764705882353,17.86508267393802,0.8150785042193662,0.6260737529985294
direct_band_calibration__competition_ridge,high_absolute,DQ,18,29.600397343252414,11.994281124970653,9.157687376286471,33.940057692616044,88.00571887502934,5.555555555555555,201.87474501060754,0.13555605570309473,0.01252500905961093
direct_band_calibration__competition_ridge,high_absolute,TBZ,18,21.091254759617264,14.349688977146593,6.34195732843335,35.4187809216931,85.6503110228534,0.0,199.97479124217207,0.2651372813387366,0.08086515962959835
direct_band_calibration__competition_ridge,high_absolute,THI,18,52.891881838903295,39.2240208846048,20.000100717437107,63.02414231320887,62.65081345071611,5.555555555555555,153.302315919789,0.6956601501061448,0.20116542681254082
pie_partition_raw_signal__constant_factor,all89,DQ,82,134.1040237954166,103.24701152676236,38.645873730285174,195.82479720563586,74.69040464056856,14.634146341463413,51.271642302390305,0.20565599133933926,0.09491035844147806
pie_partition_raw_signal__constant_factor,all89,TBZ,82,137.49668596955289,107.13504519562468,46.84213651487835,169.73346324287675,63.46188037984548,18.29268292682927,48.49295308330307,0.3624499832815914,0.21813426324893653
pie_partition_raw_signal__constant_factor,all89,THI,82,129.4754267601043,101.29393663658703,64.66318134350314,145.73187596732822,43.95153851215369,18.29268292682927,40.28697165013418,0.8437407916132788,0.7484111761891833
pie_partition_raw_signal__constant_factor,low_grid64,DQ,64,168.62228561266843,151.41344018360212,85.357588833714,249.60396692625804,67.44793446404984,18.75,6.563836222944827,0.5044275726995459,0.5339004343695706
pie_partition_raw_signal__constant_factor,low_grid64,TBZ,64,171.20273997294538,145.3535525806408,86.4241418486339,281.54099646504034,54.317205087597316,23.4375,7.4471413294205036,0.5185845088419258,0.3987709950898278
pie_partition_raw_signal__constant_factor,low_grid64,THI,64,135.95205738330947,103.86223889776227,69.35592956407822,143.84492314688572,37.920306083361965,18.75,11.896987164623965,0.71253376562016,0.08919454895058061
pie_partition_raw_signal__constant_factor,max100,DQ,64,168.62228561266843,151.41344018360212,85.357588833714,249.60396692625804,67.44793446404984,18.75,6.563836222944827,0.5044275726995459,0.5339004343695706
pie_partition_raw_signal__constant_factor,max100,TBZ,64,171.20273997294538,145.3535525806408,86.4241418486339,281.54099646504034,54.317205087597316,23.4375,7.4471413294205036,0.5185845088419258,0.3987709950898278
pie_partition_raw_signal__constant_factor,max100,THI,64,135.95205738330947,103.86223889776227,69.35592956407822,143.84492314688572,37.920306083361965,18.75,11.896987164623965,0.71253376562016,0.08919454895058061
pie_partition_raw_signal__constant_factor,binary,DQ,14,13.13795466022537,11.700915156337615,4.951388208009153,14.571193949010098,88.29908484366238,0.0,198.65130833838356,0.39279831381536806,0.09049845021629377
pie_partition_raw_signal__constant_factor,binary,TBZ,14,20.902890589727097,15.232521160292666,6.305906696639928,39.35822673158666,84.76747883970734,0.0,178.4950415129335,0.4611412227158167,0.1899132516507062
pie_partition_raw_signal__constant_factor,binary,THI,14,105.46993461450579,59.32963418862988,22.111135818246424,160.87002677184836,77.178258791722,14.285714285714285,149.23554894290461,0.7449508034458608,0.5688466499710674
pie_partition_raw_signal__constant_factor,ternary,DQ,68,159.00880273501483,145.3510689719156,79.47736124849226,234.51366979776282,72.08984834532409,17.647058823529413,20.92876988321525,0.1977728171444282,-0.013976230913762615
pie_partition_raw_signal__constant_factor,ternary,TBZ,68,161.50129090069345,137.88589713524297,79.8558807602059,275.98841321130715,59.51265028275891,22.058823529411764,21.727817230143856,0.2360677432513304,-0.011947405725789452
pie_partition_raw_signal__constant_factor,ternary,THI,68,134.41773396655103,105.22396550981841,69.35592956407822,144.6871381509025,38.060416521548106,19.11764705882353,17.856382207504982,0.8306117621622193,0.7581912956204704
