method,subset,n_maps,n_present,recovery_mean_pct,recovery_median_pct,recovery_q1_pct,recovery_q3_pct,median_abs_recovery_error_pct,mean_abs_recovery_error_pct,within_80_120_pct,within_70_130_pct,within_1_5x_pct,mae_uM,euclidean_mean_uM,false_positive_mean_uM,pearson_r,spearman_r,r2_linear,ccc
direct_band_calibration__power_huber,ternary,68,204,160.98328761169,121.60108802104043,76.19993854502701,215.68461600111604,53.80201709897982,90.81733438826548,22.54901960784314,29.901960784313726,41.66666666666667,21.267827300046502,43.8792591696321,0.0,0.45154172081366406,0.4814107276591582,0.02704545764836941,0.11041649161435518
direct_band_calibration__power_huber,high_absolute,25,54,22.243532704173614,14.418576556705297,5.441944085300642,24.418801155089174,85.58142344329471,81.01259447466337,3.7037037037037033,3.7037037037037033,3.7037037037037033,199.77759867576393,336.91486006350635,7.494521025862786,0.3365134293079405,0.30469681808461746,-1.131499475031441,0.06439792721700835
probability_weighted_band__competition_ridge,all89,89,246,164.9199104389559,120.49214556988584,67.09831296043045,213.55826877285293,62.489136282862944,104.07443653965395,19.51219512195122,28.04878048780488,38.61788617886179,47.5334569366891,102.23008872270074,19.270809050348404,0.6075368518805391,0.6204308823972929,0.10943433987300644,0.21603039487899225
probability_weighted_band__competition_ridge,low_grid64,64,192,201.24695649266633,142.9773678025727,105.49377925230976,234.49584018673167,49.939759944971485,113.21822559092277,23.958333333333336,33.33333333333333,45.83333333333333,8.934377965759086,18.611424366708846,0.0,0.618929433382203,0.6328984409971807,-3.123856428942049,0.3625265110587413
probability_weighted_band__competition_ridge,max100,64,192,201.24695649266633,142.9773678025727,105.49377925230976,234.49584018673167,49.939759944971485,113.21822559092277,23.958333333333336,33.33333333333333,45.83333333333333,8.934377965759086,18.611424366708846,0.0,0.618929433382203,0.6328984409971807,-3.123856428942049,0.3625265110587413
probability_weighted_band__competition_ridge,binary,21,42,38.17833168715159,20.541417704740752,10.958219380002182,42.19758299592458,79.86066731481726,71.23343966258432,2.380952380952381,9.523809523809524,14.285714285714285,178.2639972994876,297.9937381622247,19.270809050348404,0.34056202121730317,0.3303688858212741,-0.7268165792192975,0.08969407434909052
probability_weighted_band__competition_ridge,ternary,68,204,191.01376488785678,133.46568832358108,94.58631951724682,229.56780589870974,54.00771022007454,110.83581824963886,23.03921568627451,31.862745098039213,43.627450980392155,20.618345685524694,41.77366757225951,0.0,0.6049241797186587,0.6370558537420777,0.17956538919443843,0.2659687053552567
probability_weighted_band__competition_ridge,high_absolute,25,54,35.75708002576311,20.541417704740752,10.288053303460321,42.19758299592458,79.86066731481726,71.56318657958703,3.7037037037037033,9.25925925925926,12.962962962962962,184.77462661110687,316.29386947404,19.270809050348404,0.3580250686883576,0.339761907854633,-0.9127314169942697,0.08765820681345718
pie_partition_above_intercept__constant_factor,all89,89,246,141.5507900664272,101.29305430057983,52.86762172812963,175.76708087796897,60.400685574699786,89.65862953439442,19.51219512195122,25.609756097560975,32.113821138211385,44.66545063966929,97.05395520422687,7.485842814559584,0.5300370635716706,0.38041903604136146,0.1785044918938582,0.4390389296488873
pie_partition_above_intercept__constant_factor,low_grid64,64,192,170.17071979427857,142.67232995594466,81.15752119569204,200.24753313383258,55.40051256650523,92.69703842071108,23.4375,30.729166666666668,38.02083333333333,8.268286721754768,19.056249273798674,0.0,0.5280681054646681,0.4848018868089957,-11.086703337407053,0.14995882969705374
pie_partition_above_intercept__constant_factor,max100,64,192,170.17071979427857,142.67232995594466,81.15752119569204,200.24753313383258,55.40051256650523,92.69703842071108,23.4375,30.729166666666668,38.02083333333333,8.268286721754768,19.056249273798674,0.0,0.5280681054646681,0.4848018868089957,-11.086703337407053,0.14995882969705374
pie_partition_above_intercept__constant_factor,binary,21,42,41.10466745862262,20.240522937362115,6.506744330393917,41.67339487896617,81.04521586290842,80.08516836796703,4.761904761904762,4.761904761904762,7.142857142857142,170.348345048633,277.25595669015837,7.485842814559584,0.4628676518873493,0.3514814509895514,-0.5141124172246272,0.26990102952866324
pie_partition_above_intercept__constant_factor,ternary,68,204,162.23087413273993,126.23149450008145,78.15962869596926,192.99037920231265,56.19611720217439,91.62963624512949,22.54901960784314,29.901960784313726,37.254901960784316,18.789560614294405,41.40333709827748,0.0,0.48917239130623724,0.39922814381784755,0.112650097428727,0.4637597078344082
pie_partition_above_intercept__constant_factor,high_absolute,25,54,39.79103992295565,18.954784137091583,5.93601134406988,41.67339487896617,82.62554812846321,78.85539793860187,5.555555555555555,7.4074074074074066,11.11111111111111,174.07758901447647,296.7280823861231,7.485842814559584,0.44450693434823557,0.39023951790940514,-0.7042506079771684,0.2601709195196672
direct_band_calibration__competition_ridge,all89,89,246,166.00400936285692,126.24750439069078,69.00315446846969,211.47914936773603,62.61980559729582,105.08964543107646,17.479674796747968,26.01626016260163,39.02439024390244,47.58990213132254,102.39158178699427,18.309035962310812,0.5885217056359169,0.5960981649548992,0.10585871629620047,0.21431755609095315
