sample,row,col,x_um,y_um,ink2137,DQ_1179,DQ_1521,DQ_1576,DQ,DQ_over_ink,TBZ_779,TBZ_1011,TBZ_1549,TBZ,TBZ_over_ink,THI_556,THI_1138,THI_1365,THI,THI_over_ink
leaf_dq,4,0,0,200,30955.1,12964.1,22204.5,41858.3,25675.6,0.829446,4439.33,3316.11,19227,8994.15,0.290554,5906.67,11461.9,4528.68,7299.08,0.235795
leaf_dq,3,0,0,150,26734.6,8132.73,15800.6,26260.6,16731.3,0.62583,2637.98,3574.02,12853,6354.99,0.237707,3818.26,5651.57,3857.45,4442.43,0.166168
leaf_dq,3,1,50,150,38494,12699.5,22698.3,44302.9,26566.9,0.690156,4335.71,4811.07,19353,9499.92,0.246789,5019.89,6561.56,5504.35,5695.27,0.147952
leaf_dq,3,2,100,150,18116.2,11712.7,20617.1,35675.4,22668.4,1.25128,4768.04,4467.05,29745.8,12993.6,0.71724,8191.55,9615.76,8997.28,8934.87,0.493199
leaf_dq,3,3,150,150,16680.9,6924.46,8766.68,21223.4,12304.9,0.737663,3712.94,2292.89,8710.77,4905.53,0.294081,2633.42,3046.1,4045.41,3241.64,0.194333
leaf_dq,3,4,200,150,18813,8642.24,11741.9,23529.4,14637.8,0.77807,3644.05,3768.44,10314.4,5908.96,0.314089,3613.78,8133.4,3239.62,4995.6,0.26554
leaf_dq,3,5,250,150,12097.8,5402.91,6696.96,13757.4,8619.08,0.712452,2637.77,1904.77,7834.58,4125.71,0.34103,3353.69,10580.9,4414.31,6116.31,0.505573
leaf_dq,3,6,300,150,19226.2,7740.99,7191.96,22580,12504.3,0.650381,3511.1,4894.55,17337.3,8580.99,0.446319,10267.1,6019.16,8446.94,8244.41,0.428812
leaf_dq,3,7,350,150,14059.8,9181.96,10563,19623,13122.6,0.933347,2385.97,3550.53,15511.2,7149.22,0.508488,7405.07,4818.73,8296.81,6840.2,0.486509
leaf_dq,3,8,400,150,13476.8,6087.58,6685.5,16152.3,9641.8,0.715437,4706.31,2675.44,11479.6,6287.13,0.466515,5647.24,3867.5,5204.56,4906.43,0.364065
leaf_dq,3,9,450,150,13874.7,7697.39,11304.2,19150.3,12717.3,0.916579,3772.81,1299.8,13024.9,6032.5,0.434784,2695.11,5436.42,4183.63,4105.05,0.295866
leaf_dq,2,9,450,100,16760,7954.11,19033.4,21184,16057.2,0.958067,2384.27,3282.17,15236.7,6967.71,0.415735,3718.73,6148.84,4804.95,4890.84,0.291817
leaf_dq,2,8,400,100,15562.4,7033.82,7405.9,18814,11084.6,0.712267,3372.31,2264.33,11748.8,5795.14,0.372381,7178.07,5561.65,4992,5910.57,0.379799
leaf_dq,2,7,350,100,11728.5,7124.58,10929.9,17393.8,11816.1,1.00747,3525.1,2279.62,10621.9,5475.55,0.466856,3578.15,4543.2,5035.32,4385.56,0.373921
