wavenumber_cm-1,leaf_dq_median,leaf_dq_q25,leaf_dq_q75,leaf_dq_median_over_ink,leaf_dq_minus_control,leaf_tb1_median,leaf_tb1_q25,leaf_tb1_q75,leaf_tb1_median_over_ink,leaf_tb1_minus_control,leaf_thi2_median,leaf_thi2_q25,leaf_thi2_q75,leaf_thi2_median_over_ink,leaf_thi2_minus_control,cov3_median,cov3_q25,cov3_q75,cov3_median_over_ink,cov3_minus_control,leavesmix_median,leavesmix_q25,leavesmix_q75,leavesmix_median_over_ink,leavesmix_minus_control,leavesmix2peel_median,leavesmix2peel_q25,leavesmix2peel_q75,leavesmix2peel_median_over_ink,leavesmix2peel_minus_control,leavesmix2peel2_median,leavesmix2peel2_q25,leavesmix2peel2_q75,leavesmix2peel2_median_over_ink,leavesmix2peel2_minus_control
154.25,131.241,35.7669,207.173,0.00735301,0.00313205,468.22,300.697,575.038,0.0223693,0.0181483,36.2201,-6.33466,78.0308,0.00237166,-0.0018493,84.3197,33.0703,114.908,0.00422096,0,466.071,360.865,613.544,0.0419059,0.037685,349.563,277.881,443.267,0.0424443,0.0382233,44.0485,-3.46191,135.655,0.00319263,-0.00102833
155.80,112.589,30.4334,202.27,0.00630802,0.00400094,461.752,289.907,570.87,0.0220602,0.0197532,31.1031,-5.83566,79.0566,0.0020366,-0.00027048,46.0872,8.52189,81.1826,0.00230708,0,553.809,426.797,694.445,0.0497947,0.0474876,320.509,263.607,416.227,0.0389166,0.0366095,-2.54261,-36.7831,96.1046,-0.000184288,-0.00249137
157.35,190.145,124.965,285.934,0.0106532,0.00872585,515.362,349.263,647.189,0.0246215,0.0226941,42.8136,-0.575344,121.499,0.0028034,0.000876024,38.5021,-1.02061,71.041,0.00192738,0,645.382,490.947,809.459,0.0580284,0.056101,263.332,197.037,360.577,0.031974,0.0300466,18.6681,-24.6525,102.215,0.00135306,-0.000574317
158.90,187.017,108.565,272.951,0.010478,0.00922025,565.451,381.927,674.663,0.0270145,0.0257567,36.1387,-7.20637,96.0982,0.00236633,0.00110857,25.1255,-8.83174,57.439,0.00125776,0,516.008,357.319,697.676,0.0463959,0.0451382,301.514,237.256,403.097,0.0366101,0.0353524,-111.389,-149.128,-12.1947,-0.00807346,-0.00933122
160.45,200.251,126.393,326.004,0.0112194,0.00964622,522.881,385.162,659.08,0.0249807,0.0234075,59.6567,16.4198,120.895,0.00390627,0.00233306,31.427,1.74801,69.6904,0.00157321,0,468.405,270.332,660.633,0.0421158,0.0405426,326.312,258.905,428.125,0.0396212,0.0380479,-76.109,-119.669,9.63862,-0.00551637,-0.00708957
162.00,227.974,155.607,352.623,0.0127727,0.00989031,434.283,334.615,607.241,0.0207479,0.0178656,96.8621,56.4066,154.739,0.00634244,0.0034601,57.5789,6.80095,88.5562,0.00288234,0,494.251,270.446,695.76,0.0444397,0.0415573,332.531,255.246,444.27,0.0403763,0.0374939,37.2465,-26.5894,123.341,0.00269962,-0.00018272
163.55,207.061,128.441,319.289,0.011601,0.0109757,370.48,275.138,482.72,0.0176997,0.0170744,66.4046,29.0327,110.311,0.00434811,0.00372279,12.4917,-14.3447,51.8863,0.000625324,0,602.999,349.162,820.709,0.0542176,0.0535923,289.438,221.372,393.85,0.0351439,0.0345186,23.2581,-25.3798,113.033,0.00168575,0.00106042
165.10,225.665,157.46,342.58,0.0126433,0.0129088,312.59,213.704,422.95,0.014934,0.0151995,114.592,70.3536,157.63,0.00750341,0.00776888,-5.30328,-28.729,21.7917,-0.000265477,0,662.606,381.236,918.119,0.0595771,0.0598425,259.237,202.246,367.743,0.0314769,0.0317423,68.938,-4.67089,143.258,0.00499662,0.0052621
166.65,292.113,207.23,389.498,0.0163662,0.0166122,293.284,200.354,396.816,0.0140117,0.0142577,188.317,136.126,235.429,0.0123309,0.0125769,-4.91512,-29.7875,32.9625,-0.000246046,0,722.814,391.974,1002.59,0.0649905,0.0652366,242.676,185.5,354.932,0.0294659,0.029712,117.257,38.0109,215.013,0.00849881,0.00874485
168.20,328.896,260.1,439.341,0.018427,0.0142686,389.325,288.678,487.234,0.0186,0.0144417,205.84,133.634,260.775,0.0134782,0.00931986,83.0692,39.7303,116.453,0.00415836,0,821.499,447.764,1111.11,0.0738637,0.0697053,209.799,146.588,331.485,0.025474,0.0213156,111.127,68.9202,248.119,0.00805445,0.00389609
