condition,regime,pair,component,DQ_uM,TBZ_uM,THI_uM,nominal_component_uM,apparent_single_calibration_uM,effective_response_factor_Q,log10_effective_response_factor
DQ3-TB24-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,3,24,24,24,2.7500318459540307,0.11458466024808461,-0.9408735186296976
DQ3-TB24-TH24,low_ternary_64,DQ-TBZ-THI,THI,3,24,24,24,34.553936469606896,1.4397473529002873,0.1582862887148072
DQ3-TB3-TH24,low_ternary_64,DQ-TBZ-THI,DQ,3,3,24,3,0.9149399063174537,0.30497996877248457,-0.5157286843819403
DQ3-TB3-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,3,3,24,3,1.1950714055353504,0.3983571351784501,-0.39972739955809444
DQ3-TB3-TH24,low_ternary_64,DQ-TBZ-THI,THI,3,3,24,24,100,4.166666666666667,0.619788758288394
DQ3-TB3-TH6,low_ternary_64,DQ-TBZ-THI,DQ,3,3,6,3,3.3423068537674205,1.1141022845891402,0.04692506479949881
DQ3-TB3-TH6,low_ternary_64,DQ-TBZ-THI,TBZ,3,3,6,3,1.1748274447655953,0.39160914825519844,-0.4071471713368647
DQ3-TB3-TH6,low_ternary_64,DQ-TBZ-THI,THI,3,3,6,6,8.565571721231292,1.427595286871882,0.1546051054864016
DQ50-TB0-TH150,high_binary_21,DQ-THI,DQ,50,0,150,50,0.39358262442782593,0.007871652488556518,-2.1039340870403396
DQ50-TB0-TH150,high_binary_21,DQ-THI,THI,50,0,150,150,100,0.6666666666666666,-0.17609125905568127
DQ50-TB0-TH250,high_binary_21,DQ-THI,DQ,50,0,250,50,0.36254295075948817,0.007250859015189764,-2.1396105391590448
DQ50-TB0-TH250,high_binary_21,DQ-THI,THI,50,0,250,250,100,0.4,-0.3979400086720376
DQ500-TB500-TH0,high_binary_21,DQ-TBZ,DQ,500,500,0,500,1.7394917385604105,0.003478983477120821,-2.458547633860141
DQ500-TB500-TH0,high_binary_21,DQ-TBZ,TBZ,500,500,0,500,1.147076592481064,0.002294153184962128,-2.639377586799776
DQ6-TB24-TH12,low_ternary_64,DQ-TBZ-THI,DQ,6,24,12,6,14.24381864241988,2.3739697737366465,0.37547518505540806
DQ6-TB24-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,6,24,12,24,13.206737192598318,0.5502807163582633,-0.25941570602572417
DQ6-TB24-TH12,low_ternary_64,DQ-TBZ-THI,THI,6,24,12,12,12.466727516372355,1.0388939596976963,0.016571221216100274
DQ6-TB24-TH6,low_ternary_64,DQ-TBZ-THI,DQ,6,24,6,6,6.342337240472487,1.0570562067454146,0.024098080619048872
DQ6-TB24-TH6,low_ternary_64,DQ-TBZ-THI,TBZ,6,24,6,24,3.5895875517395712,0.1495661479891488,-0.8251666912653122
DQ6-TB24-TH6,low_ternary_64,DQ-TBZ-THI,THI,6,24,6,6,4.703224634046017,0.7838707723410029,-0.10575552849556041
DQ6-TB3-TH24,low_ternary_64,DQ-TBZ-THI,DQ,6,3,24,6,2.6250205726674487,0.4375034287779081,-0.3590185389994051
DQ6-TB3-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,6,3,24,3,1.0329258801515913,0.3443086267171971,-0.46305209582933704
DQ6-TB3-TH24,low_ternary_64,DQ-TBZ-THI,THI,6,3,24,24,21.6272294357067,0.9011345598211125,-0.04521035416580408
DQ6-TB6-TH12,low_ternary_64,DQ-TBZ-THI,DQ,6,6,12,6,1.759793899366842,0.293298983227807,-0.532689442574573
DQ6-TB6-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,6,6,12,6,1.2549305782620512,0.20915509637700855,-0.6795315487192737
DQ6-TB6-TH12,low_ternary_64,DQ-TBZ-THI,THI,6,6,12,12,9.071974221383426,0.7559978517819522,-0.12147943857362097
DQ0-TB50-TH250,high_binary_21,TBZ-THI,TBZ,0,50,250,50,0.974687326608363,0.01949374653216726,-1.7101046851574284
DQ0-TB50-TH250,high_binary_21,TBZ-THI,THI,0,50,250,250,100,0.4,-0.3979400086720376
DQ12-TB6-TH12,low_ternary_64,DQ-TBZ-THI,DQ,12,6,12,12,0.8867875801050815,0.0738989650087568,-1.131361644069767
DQ12-TB6-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,12,6,12,6,1.2084804921157686,0.2014134153526281,-0.695911606177712
DQ12-TB6-TH12,low_ternary_64,DQ-TBZ-THI,THI,12,6,12,12,2.225672888349224,0.18547274069576866,-0.7317199104981782
DQ12-TB6-TH6,low_ternary_64,DQ-TBZ-THI,DQ,12,6,6,12,1.049996159486994,0.0874996799572495,-1.0579935354697405
DQ12-TB6-TH6,low_ternary_64,DQ-TBZ-THI,TBZ,12,6,6,6,1.2568931782345858,0.20948219637243096,-0.6788528812693755
DQ12-TB6-TH6,low_ternary_64,DQ-TBZ-THI,THI,12,6,6,6,1.5067161931922748,0.2511193655320458,-0.6001197945773655
DQ24-TB12-TH24,low_ternary_64,DQ-TBZ-THI,DQ,24,12,24,24,5.323676660856778,0.2218198608690324,-0.653999571443531
DQ24-TB12-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,24,12,24,12,1.2810167349307382,0.10675139457756151,-0.9716264427349437
DQ24-TB12-TH24,low_ternary_64,DQ-TBZ-THI,THI,24,12,24,24,45.020575987537434,1.8758573328140598,0.27319980529694143
DQ24-TB3-TH12,low_ternary_64,DQ-TBZ-THI,DQ,24,3,12,24,1.3427242958794825,0.0559468456616451,-1.2522243943967455
DQ24-TB3-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,24,3,12,3,1.2652410707540342,0.4217470235846781,-0.37494797369511806
DQ24-TB3-TH12,low_ternary_64,DQ-TBZ-THI,THI,24,3,12,12,41.55046055605365,3.4625383796711375,0.5393945959315707
DQ24-TB3-TH24,low_ternary_64,DQ-TBZ-THI,DQ,24,3,24,24,1.3510645165783566,0.056294354857431526,-1.2495351535889323
DQ24-TB3-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,24,3,24,3,1.0982158363690888,0.36607194545636296,-0.4364335527364699
DQ24-TB3-TH24,low_ternary_64,DQ-TBZ-THI,THI,24,3,24,24,19.017668114237694,0.7924028380932372,-0.1010539776488556
DQ24-TB6-TH24,low_ternary_64,DQ-TBZ-THI,DQ,24,6,24,24,1.5290380798062804,0.06370991999192835,-1.1957929403124938
DQ24-TB6-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,24,6,24,6,0.9745579165005683,0.1624263194167614,-0.7893435966999405
DQ24-TB6-TH24,low_ternary_64,DQ-TBZ-THI,THI,24,6,24,24,18.41234118761126,0.7671808828171359,-0.11510222777491928
DQ24-TB6-TH6,low_ternary_64,DQ-TBZ-THI,DQ,24,6,6,24,5.925838376765844,0.2469099323652435,-0.6074614394943293
DQ24-TB6-TH6,low_ternary_64,DQ-TBZ-THI,TBZ,24,6,6,6,1.4127233473253817,0.23545389122089697,-0.6280941278086488
DQ24-TB6-TH6,low_ternary_64,DQ-TBZ-THI,THI,24,6,6,6,9.684254861844586,1.6140424769740978,0.2079149599230489
DQ3-TB12-TH12,low_ternary_64,DQ-TBZ-THI,DQ,3,12,12,3,1.7666210821691726,0.5888736940563909,-0.22997784588634756
DQ3-TB12-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,3,12,12,12,1.1984129804733479,0.099867748372779,-1.0005747416556705
DQ3-TB12-TH12,low_ternary_64,DQ-TBZ-THI,THI,3,12,12,12,8.85230125457624,0.7376917712146867,-0.13212506097158688
DQ3-TB6-TH12,low_ternary_64,DQ-TBZ-THI,DQ,3,6,12,3,1.8007047237303027,0.6002349079101009,-0.22167875087737196
DQ3-TB6-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,3,6,12,6,1.0074007297544527,0.1679001216257421,-0.7749489892617754
DQ3-TB6-TH12,low_ternary_64,DQ-TBZ-THI,THI,3,6,12,12,14.296088755928793,1.1913407296607328,0.0760359897349697
DQ50-TB0-TH500,high_binary_21,DQ-THI,DQ,50,0,500,50,0.36959690987847876,0.007391938197569575,-2.131241672816995
DQ50-TB0-TH500,high_binary_21,DQ-THI,THI,50,0,500,500,100,0.2,-0.6989700043360187
DQ50-TB250-TH0,high_binary_21,DQ-TBZ,DQ,50,250,0,50,8.897566136325006,0.1779513227265001,-0.7496987795023096
DQ50-TB250-TH0,high_binary_21,DQ-TBZ,TBZ,50,250,0,250,12.38603051930973,0.04954412207723892,-1.3050078628909865
DQ500-TB0-TH500,high_binary_21,DQ-THI,DQ,500,0,500,500,0.4354060373273977,0.0008708120746547954,-3.0600755576745904
DQ500-TB0-TH500,high_binary_21,DQ-THI,THI,500,0,500,500,100,0.2,-0.6989700043360187
DQ6-TB12-TH24,low_ternary_64,DQ-TBZ-THI,DQ,6,12,24,6,1.5823921829389496,0.2637320304898249,-0.5788371215519654
DQ6-TB12-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,6,12,24,12,1.5862286574531796,0.13218572145443164,-0.8788154542940645
DQ6-TB12-TH24,low_ternary_64,DQ-TBZ-THI,THI,6,12,24,24,100,4.166666666666667,0.619788758288394
DQ6-TB12-TH3,low_ternary_64,DQ-TBZ-THI,DQ,6,12,3,6,1.9520278189956317,0.32533796983260527,-0.48766524773421815
DQ6-TB12-TH3,low_ternary_64,DQ-TBZ-THI,TBZ,6,12,3,12,1.831192796696672,0.15259939972472267,-0.8164471747478048
DQ6-TB12-TH3,low_ternary_64,DQ-TBZ-THI,THI,6,12,3,3,1.4639767742416216,0.48799225808054053,-0.3115870679554275
DQ6-TB12-TH6,low_ternary_64,DQ-TBZ-THI,DQ,6,12,6,6,1.8733069126233008,0.31221781877055016,-0.5055423146852186
DQ6-TB12-TH6,low_ternary_64,DQ-TBZ-THI,TBZ,6,12,6,12,1.6003981972486765,0.1333665164373897,-0.8749531925467344
DQ6-TB12-TH6,low_ternary_64,DQ-TBZ-THI,THI,6,12,6,6,1.5193417871875674,0.2532236311979279,-0.5964957677701185
DQ6-TB3-TH12,low_ternary_64,DQ-TBZ-THI,DQ,6,3,12,6,1.8172308202515621,0.3028718033752604,-0.5187411565401536
DQ6-TB3-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,6,3,12,3,1.0854146280445152,0.3618048760148384,-0.44152558448541346
DQ6-TB3-TH12,low_ternary_64,DQ-TBZ-THI,THI,6,3,12,12,6.180074343287007,0.5150061952739172,-0.2881875465761043
DQ6-TB6-TH24,low_ternary_64,DQ-TBZ-THI,DQ,6,6,24,6,2.524094465316591,0.4206824108860985,-0.37604564585036876
DQ6-TB6-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,6,6,24,6,1.0878405776986952,0.18130676294978254,-0.7415859959210802
DQ6-TB6-TH24,low_ternary_64,DQ-TBZ-THI,THI,6,6,24,24,100,4.166666666666667,0.619788758288394
DQ0-TB500-TH500,high_binary_21,TBZ-THI,TBZ,0,500,500,500,1.1839350505297455,0.002367870101059491,-2.6256421262482976
DQ0-TB500-TH500,high_binary_21,TBZ-THI,THI,0,500,500,500,67.59501835661533,0.13519003671323065,-0.8690553140150048
DQ12-TB3-TH12,low_ternary_64,DQ-TBZ-THI,DQ,12,3,12,12,1.200914790797117,0.1000762325664264,-0.9996690522995385
DQ12-TB3-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,12,3,12,3,1.0906087634193804,0.3635362544731268,-0.4394522716481662
DQ12-TB3-TH12,low_ternary_64,DQ-TBZ-THI,THI,12,3,12,12,6.058641881241036,0.5048868234367531,-0.2968059633971679
DQ12-TB3-TH24,low_ternary_64,DQ-TBZ-THI,DQ,12,3,24,12,0.7156013320050819,0.05963344433375683,-1.224510105765036
DQ12-TB3-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,12,3,24,3,0.9844021063791392,0.32813403545971304,-0.483948720404198
DQ12-TB3-TH24,low_ternary_64,DQ-TBZ-THI,THI,12,3,24,24,4.707114296021981,0.1961297623342492,-0.7074564979346437
DQ12-TB3-TH6,low_ternary_64,DQ-TBZ-THI,DQ,12,3,6,12,0.8108857754945449,0.06757381462454541,-1.1702215639279303
