DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_pls_Z2
24,72,4,0.4787
24,74,2,0.4974
24,76,0,0.525
26,0,74,0.8005
26,2,72,0.7834
26,4,70,0.7609
26,6,68,0.7357
26,8,66,0.7093
26,10,64,0.6827
26,12,62,0.6566
26,14,60,0.6318
26,16,58,0.6086
26,18,56,0.5875
26,20,54,0.5685
26,22,52,0.5519
26,24,50,0.5377
26,26,48,0.5257
26,28,46,0.516
26,30,44,0.5082
26,32,42,0.5021
26,34,40,0.4973
26,36,38,0.4933
26,38,36,0.4894
26,40,34,0.4856
26,42,32,0.4818
26,44,30,0.4782
26,46,28,0.4747
26,48,26,0.4714
26,50,24,0.4681
26,52,22,0.4648
26,54,20,0.4616
26,56,18,0.4585
26,58,16,0.4558
26,60,14,0.4539
26,62,12,0.4531
26,64,10,0.454
26,66,8,0.457
26,68,6,0.4629
26,70,4,0.4721
26,72,2,0.4857
26,74,0,0.5056
28,0,72,0.7985
28,2,70,0.7786
28,4,68,0.7544
28,6,66,0.728
28,8,64,0.7008
28,10,62,0.6739
28,12,60,0.648
28,14,58,0.6238
28,16,56,0.6018
28,18,54,0.5822
28,20,52,0.5652
28,22,50,0.551
28,24,48,0.5394
28,26,46,0.5302
28,28,44,0.5233
28,30,42,0.5184
28,32,40,0.5148
28,34,38,0.512
28,36,36,0.5089
28,38,34,0.505
28,40,32,0.5005
28,42,30,0.4956
28,44,28,0.4908
28,46,26,0.486
28,48,24,0.4815
28,50,22,0.4771
28,52,20,0.4728
28,54,18,0.4688
28,56,16,0.4653
28,58,14,0.4625
28,60,12,0.4606
28,62,10,0.4602
28,64,8,0.4617
28,66,6,0.4654
28,68,4,0.4722
28,70,2,0.4827
28,72,0,0.4986
30,0,70,0.7902
30,2,68,0.7684
30,4,66,0.7432
30,6,64,0.7163
30,8,62,0.6891
30,10,60,0.6625
30,12,58,0.6374
30,14,56,0.6145
30,16,54,0.5942
30,18,52,0.5768
30,20,50,0.5624
30,22,48,0.5509
30,24,46,0.5423
30,26,44,0.5362
30,28,42,0.5323
30,30,40,0.5301
30,32,38,0.5289
30,34,36,0.5275
30,36,34,0.5246
30,38,32,0.52
30,40,30,0.5145
30,42,28,0.5087
30,44,26,0.5029
30,46,24,0.4973
30,48,22,0.4918
30,50,20,0.4866
30,52,18,0.4818
30,54,16,0.4774
30,56,14,0.4737
30,58,12,0.471
30,60,10,0.4696
30,62,8,0.4699
30,64,6,0.4722
30,66,4,0.4772
30,68,2,0.4855
30,70,0,0.4983
32,0,68,0.7777
32,2,66,0.7544
32,4,64,0.7286
32,6,62,0.7016
32,8,60,0.6748
32,10,58,0.649
32,12,56,0.6253
32,14,54,0.6043
32,16,52,0.5863
32,18,50,0.5716
32,20,48,0.5602
32,22,46,0.5519
32,24,44,0.5463
32,26,42,0.5433
32,28,40,0.5422
32,30,38,0.5425
32,32,36,0.5432
32,34,34,0.5427
32,36,32,0.539
32,38,30,0.5334
32,40,28,0.5273
32,42,26,0.5209
32,44,24,0.5147
32,46,22,0.5085
32,48,20,0.5025
32,50,18,0.4969
32,52,16,0.4918
32,54,14,0.4874
32,56,12,0.4839
32,58,10,0.4817
32,60,8,0.481
32,62,6,0.4822
32,64,4,0.4858
32,66,2,0.4924
32,68,0,0.5027
34,0,66,0.7621
34,2,64,0.7378
34,4,62,0.7116
34,6,60,0.6849
34,8,58,0.6587
34,10,56,0.6343
34,12,54,0.6124
34,14,52,0.5937
34,16,50,0.5786
34,18,48,0.567
34,20,46,0.5589
34,22,44,0.5537
34,24,42,0.5513
34,26,40,0.5511
34,28,38,0.5524
34,30,36,0.5546
34,32,34,0.5564
34,34,32,0.5552
34,36,30,0.5508
34,38,28,0.5452
34,40,26,0.5391
34,42,24,0.5327
34,44,22,0.5263
34,46,20,0.52
34,48,18,0.5138
34,50,16,0.5081
34,52,14,0.5031
34,54,12,0.4989
34,56,10,0.496
34,58,8,0.4946
34,60,6,0.495
34,62,4,0.4975
34,64,2,0.5025
34,66,0,0.5108
36,0,64,0.7443
36,2,62,0.7193
36,4,60,0.693
36,6,58,0.6666
36,8,56,0.6415
36,10,54,0.6187
36,12,52,0.5991
36,14,50,0.5834
36,16,48,0.5715
36,18,46,0.5633
36,20,44,0.5585
36,22,42,0.5565
36,24,40,0.5568
36,26,38,0.559
36,28,36,0.5621
36,30,34,0.5651
36,32,32,0.5665
36,34,30,0.5649
36,36,28,0.5611
36,38,26,0.5561
36,40,24,0.5505
36,42,22,0.5444
36,44,20,0.5382
36,46,18,0.532
36,48,16,0.5259
36,50,14,0.5204
36,52,12,0.5157
36,54,10,0.5122
36,56,8,0.5102
36,58,6,0.5098
36,60,4,0.5114
36,62,2,0.5153
36,64,0,0.5218
38,0,62,0.7251
38,2,60,0.6996
38,4,58,0.6733
38,6,56,0.6475
38,8,54,0.6236
38,10,52,0.6028
38,12,50,0.5862
38,14,48,0.5738
38,16,46,0.5654
38,18,44,0.5607
38,20,42,0.5591
38,22,40,0.5599
38,24,38,0.5627
38,26,36,0.5665
38,28,34,0.5707
38,30,32,0.5739
38,32,30,0.5751
38,34,28,0.574
38,36,26,0.5711
38,38,24,0.567
38,40,22,0.5621
38,42,20,0.5566
38,44,18,0.5507
38,46,16,0.5447
38,48,14,0.539
38,50,12,0.5339
38,52,10,0.5299
38,54,8,0.5273
38,56,6,0.5264
38,58,4,0.5272
38,60,2,0.5301
38,62,0,0.5353
40,0,60,0.7051
40,2,58,0.6792
40,4,56,0.653
40,6,54,0.6278
40,8,52,0.6055
40,10,50,0.5875
40,12,48,0.5742
40,14,46,0.5656
40,16,44,0.5609
40,18,42,0.5595
40,20,40,0.5608
40,22,38,0.564
40,24,36,0.5686
40,26,34,0.5738
40,28,32,0.5785
40,30,30,0.582
40,32,28,0.5837
40,34,26,0.5835
40,36,24,0.5816
40,38,22,0.5785
40,40,20,0.5744
40,42,18,0.5695
40,44,16,0.5641
40,46,14,0.5585
40,48,12,0.5532
40,50,10,0.5488
40,52,8,0.5457
40,54,6,0.5443
40,56,4,0.5446
40,58,2,0.5467
40,60,0,0.5507
42,0,58,0.6849
42,2,56,0.6587
42,4,54,0.6325
42,6,52,0.6082
42,8,50,0.5881
42,10,48,0.5735
42,12,46,0.5642
42,14,44,0.5594
42,16,42,0.5582
42,18,40,0.5597
42,20,38,0.5634
42,22,36,0.5686
42,24,34,0.5747
42,26,32,0.5809
42,28,30,0.5863
42,30,28,0.5905
42,32,26,0.593
42,34,24,0.5938
42,36,22,0.5931
42,38,20,0.591
42,40,18,0.5877
42,42,16,0.5835
42,44,14,0.5786
