raman_shift_cm-1,DQ12_TBZ6_THI3_raw_l2_sg11_mean,DQ12_TBZ6_THI3_raw_l2_sg11_std,DQ12_TBZ6_THI3_preprocessed_sg11_mean,DQ12_TBZ6_THI3_preprocessed_sg11_std,DQ24_TBZ12_THI6_raw_l2_sg11_mean,DQ24_TBZ12_THI6_raw_l2_sg11_std,DQ24_TBZ12_THI6_preprocessed_sg11_mean,DQ24_TBZ12_THI6_preprocessed_sg11_std
2855.9,0.008896066712952318,0.0018514000747598001,0.008201980063706347,0.0018197018786767446,0.003395456255523936,0.00048694212224537574,0.002861488055059236,0.0004876610977132815
2857.45,0.008443742522934835,0.001828585236532872,0.007695042258535123,0.001793478307774188,0.0031694767629612403,0.0005002560862574161,0.002604391124154402,0.0004913754159619645
2859.0,0.008050102635019027,0.001810099362477013,0.007241984845572824,0.0017843370686554145,0.002858241255998737,0.000497212025216075,0.00225332287331325,0.000488838930308718
2860.55,0.008325981169264151,0.0018165371064770173,0.007532769029425623,0.001805833531822483,0.002886712450666797,0.0005351281060000763,0.0022706577786501783,0.0005311272658964381
2862.1,0.008119612984803883,0.001857692908687912,0.007284541847000963,0.0018578821421820183,0.0029898425591892482,0.0005648679600994915,0.0023679015851256094,0.0005790630198237921
2863.65,0.008936152957164416,0.0019602157651857754,0.008182259041019914,0.001971662005926568,0.003121208842987594,0.0005675181122260721,0.0024971486278405268,0.0005812195855230931
2865.2,0.0097012196238983,0.00193769372116564,0.009021466347251783,0.0019332485135417966,0.003342654041972192,0.000571393265383006,0.0027224239351553523,0.0005860789845043631
2866.75,0.009555149342631577,0.0018527430211020765,0.00884379874166155,0.0018385902589162953,0.0036358811571447795,0.0005616908831299883,0.003027000055045583,0.0005771732690507734
2868.3,0.010199517434969614,0.001937182628980713,0.00954030148451772,0.0019216932871639638,0.003882238168812195,0.0005707900654427987,0.0032844803080968434,0.00058499148218334
2869.85,0.009540066991381057,0.0017653945389764956,0.00879983268202083,0.0017504061407166138,0.004220571424701621,0.0005633754928704916,0.0036399885206953803,0.0005757853009048466
2871.4,0.008652293645009536,0.0015666770408775132,0.0077958061570834345,0.0015516925953762007,0.004776481965464193,0.0006247098589710933,0.004231966015191293,0.0006395501120481693
2872.95,0.0080447802045703,0.0014571217344495316,0.007108981404994262,0.001404368547005433,0.004900681968117791,0.0006184182513363901,0.0043578076309348426,0.0006340892451373849
2874.5,0.007565829747021247,0.0013856927124544286,0.006566944777924784,0.0013434411686236761,0.004969069051682041,0.0005718100960604474,0.004422034443860119,0.000592062426867438
2876.05,0.0071371795557518625,0.0012887581086966943,0.006078022302915353,0.0012349042575841406,0.005026588039601983,0.0005789253330327712,0.0044749361869580425,0.0006040011174242969
2877.6,0.007065068059043037,0.001491382259741127,0.005987885070828763,0.0014578275408070347,0.0049600239444360485,0.0005692979389653596,0.0043932361385284335,0.0006008010481707925
2879.15,0.007319062993010118,0.0015355787740249686,0.0062589502119484285,0.0015177494114990268,0.004965949003475141,0.0005982885790546539,0.004390856671063664,0.0006260186317572303
2880.7,0.007841070678514202,0.0015931800550040224,0.00682739322779988,0.0015721335128437341,0.004908380578028672,0.0005873743702056735,0.0043197333009490305,0.0006109866392668668
2882.25,0.008730630876018665,0.0016887058549900046,0.007804536009294181,0.0016658526239046632,0.005103733208312415,0.0006046550972475466,0.0045241854084222925,0.0006257664014046913
