raman_shift_cm-1,measured_raw,preprocessed,dominant_component_fit,residual
1744.55,123.51302470916997,0.00307655376229062,0.0021251066504229836,0.0009514471118676365
1746.1,129.53814293370698,0.0031577989737943167,0.002099797443876285,0.0010580015299180316
1747.65,172.0572898910131,0.003873123805159274,0.0019955680132487707,0.0018775557919105033
1749.2,220.58358904697303,0.0046923014622434174,0.002059605396728202,0.0026326960655152156
1750.75,237.63051769681948,0.004963360144659704,0.001963424378143834,0.0029999357665158703
1752.3,201.68341165993337,0.004312125600327955,0.0020455945164386444,0.0022665310838893104
1753.85,139.1802772806238,0.003198462324749042,0.0020132846379051317,0.0011851776868439102
1755.4,131.20718575965842,0.0030327264026862736,0.001837064150557135,0.0011956622521291386
1756.95,145.46816705037753,0.0032532234312435,0.0019278929572383605,0.0013253304740051396
1758.5,101.38839118063814,0.002458546058665379,0.001821135025605966,0.0006374110330594129
1760.05,207.07951539155488,0.004268401321375942,0.0020759254823872284,0.0021924758389887137
1761.6,190.10338542343197,0.003944308716908111,0.0022478551680017995,0.0016964535489063111
1763.15,195.50592745015615,0.004009074392994998,0.001958708805415135,0.002050365587579863
1764.7,272.8635475951441,0.005325005835618673,0.0019413174178282303,0.003383688417790443
1766.25,278.69977118486077,0.005396647632513877,0.001847018990287591,0.003549628642226286
1767.8,244.33008541664765,0.004768694765353366,0.0018901177871182393,0.002878576978235127
1769.35,204.33958195029194,0.004042709800566864,0.0016052789188216521,0.0024374308817452115
1770.9,174.65782905542653,0.0034957799141618335,0.0015402017165419115,0.001955578197619922
1772.45,222.00227366916317,0.004288343805103817,0.0016419488100677612,0.002646394995036056
1774.0,290.17502783284095,0.005442977387590457,0.0015662068108049797,0.0038767705767854773
1775.55,349.47875819867727,0.00644317943424072,0.0015401568383098087,0.004903022595930911
1777.1,354.7321650493518,0.006503136048267538,0.0015724431207912776,0.00493069292747626
1778.65,288.10026165083497,0.005312666223775297,0.0015646559727348864,0.0037480102510404102
1780.2,347.47458352331364,0.0063137127127299054,0.0018601886775022193,0.004453524035227686
1781.75,374.41095177451666,0.006750482206696502,0.001767114837674723,0.004983367369021779
1783.3,335.7554427779943,0.0060463501140652805,0.0018238737190561629,0.004222476395009118
1784.85,303.21083846180113,0.005448460448657579,0.0015174099316940617,0.003931050516963517
1786.4,311.4407137035727,0.005559734892163661,0.0017238456536471183,0.0038358892385165428
