raman_shift_cm-1,DQ12_TBZ6_THI3_raw_l2_mean,DQ12_TBZ6_THI3_raw_l2_std,DQ12_TBZ6_THI3_preprocessed_mean,DQ12_TBZ6_THI3_preprocessed_std,DQ24_TBZ12_THI6_raw_l2_mean,DQ24_TBZ12_THI6_raw_l2_std,DQ24_TBZ12_THI6_preprocessed_mean,DQ24_TBZ12_THI6_preprocessed_std
162.0,0.05755900019581002,0.006910324821419664,0.058611346171734774,0.007279856291773724,0.0709892981179343,0.00544517986217872,0.06921393944880061,0.006113329899674922
163.55,0.05847547132149294,0.007234846944090271,0.059670429801119355,0.007634665851919443,0.07679406335697982,0.005767559874245678,0.07554374409645463,0.006479075133718468
165.1,0.05967831617003577,0.007084980910027221,0.06105636601155835,0.007425530821701179,0.08285511554060516,0.006012357363834522,0.08215657451303585,0.00675814201065855
166.65,0.0622817499454064,0.007654508462366916,0.06401781972494888,0.008084226474477072,0.08899434500040265,0.006263960568296713,0.08885944986130026,0.007038044161914724
168.2,0.07009734921769223,0.008004361756357558,0.07282893285968632,0.008490512086440407,0.0949236788250504,0.006311650002045315,0.09534000832373073,0.007089326423129249
169.75,0.07317244623772268,0.008314530467815238,0.07632881537902846,0.008845994031748934,0.10224528928992964,0.006398405768061722,0.10333944387681615,0.007188627820705973
171.3,0.07420079977319563,0.009012973137577452,0.07753575389508355,0.009640074262280937,0.10950525357068817,0.006589597389699929,0.11127728431601584,0.007401512454679945
172.85,0.07470953054177926,0.010197549355141222,0.07815789809734897,0.010949268644644045,0.11474651342056598,0.006777374202669621,0.11702607899840055,0.007619054874994995
174.4,0.07815095702028577,0.010508761885766958,0.0820750804183705,0.011283219284023514,0.12186945493961725,0.006994801589959893,0.124825305974349,0.007854898678089072
175.95,0.08128523861371638,0.010786199871200724,0.08565216002034483,0.011602535975956448,0.1275958640694304,0.007150369212990461,0.13111120723419842,0.008010335378038093
177.5,0.08115261319490903,0.009880520668224719,0.08556919697942598,0.010583256706679962,0.12809193750075912,0.006985138982213976,0.1317156237217723,0.007800303553148205
179.05,0.08192916669039947,0.009725959727989565,0.0865081278479596,0.010388886386083816,0.13172477918684972,0.006920481543624381,0.1357356892802158,0.007714451835278055
180.6,0.08194056371281919,0.009897941094445008,0.08659150344300967,0.010583850059711433,0.1345531316153089,0.006746513693077384,0.13888548873397727,0.007489043171032814
182.15,0.07983522664423154,0.009709991224567066,0.0843034124394293,0.01039933126173171,0.13495570983620267,0.006621139188099978,0.13940313009707353,0.007309056314122288
183.7,0.07675099208540216,0.009260971913988073,0.08091774063186392,0.009882565077141595,0.13457158373025982,0.00632118320037842,0.13907007766834487,0.00693403868327227
185.25,0.0733921398313051,0.008934109709906655,0.07722506630989506,0.00950894970986504,0.13223328643609158,0.006209442236226959,0.13661634902785275,0.006733276687423766
186.8,0.06987102814337173,0.00864135365642544,0.07335086907490579,0.009184286721040538,0.12770221716450453,0.006115123433761832,0.13178315325773396,0.006530519633154533
188.35,0.05909856422521854,0.007646175151109019,0.061351818082139846,0.008110156337784316,0.12386945928683318,0.0058611934823992766,0.12771506712917863,0.006199804129736334
189.9,0.053834728586964656,0.007247639774823034,0.05553316934979773,0.007695410847168766,0.11971658176776348,0.005774883135992417,0.12330268425617133,0.006025177420258526
191.45,0.057805323584151067,0.007643222218460919,0.06007054645023139,0.008109365976881399,0.11495662333668395,0.005847243540633419,0.11823334248137836,0.005981236851934419
193.0,0.05108432958650778,0.0065013275958378984,0.05262063204215954,0.006863129826879554,0.10730018033192325,0.005847738778596557,0.11002133032136842,0.005945591542282709
194.55,0.044332145400684767,0.00586682158588043,0.04513603036429079,0.006182629945641291,0.0994369728625979,0.005936024254130093,0.10158745692844061,0.0059988218292313785
196.1,0.03862000106184716,0.005459967449750076,0.03882013135434923,0.005751260411379533,0.09158042494582273,0.006101342054233359,0.09316315488862541,0.006126923546445545
197.65,0.031489456586501444,0.004914556660453078,0.030911570099032747,0.005118105953343046,0.08241592589655117,0.006110249514461556,0.08332332514542261,0.006119539147359811
199.2,0.02774391291619581,0.004817087933270976,0.026800453597879238,0.004997743396693643,0.07357698886571651,0.0061815500505773835,0.07383881039615735,0.006178140460406498
200.75,0.027294300509154684,0.005344675583106825,0.026386923235101115,0.00560857051735545,0.06508245636772736,0.006315717658267569,0.06472986711815039,0.006313579744742947
202.3,0.02242503320259691,0.004486593446079929,0.021023437601866476,0.004641503155762965,0.05618537913988158,0.006054415251072583,0.055188926022183594,0.0060301847857825875
203.85,0.018846549927244202,0.004242561555225312,0.01710720055332022,0.004404093782873485,0.05001706997928142,0.005907742369912235,0.04861826146872926,0.005861694231956336
205.4,0.01622910491414349,0.00449649555281685,0.014268343511337496,0.004754626486393747,0.045911476543241375,0.0058741302615613784,0.04429315313172817,0.005815767083002837
206.95,0.012320792273293444,0.004325929147595207,0.009981729670298336,0.0045733588023310475,0.039461044294656675,0.005262675787316902,0.03741896609404915,0.005167398550175917
208.5,0.009324700618426645,0.003883978045185304,0.006730039521089628,0.004051621960068962,0.033656152549436893,0.00484057006932144,0.031247589306990852,0.00472516682493927
210.05,0.007341230203587786,0.004110281357715205,0.00486334597535829,0.003982316880779025,0.028505976376003207,0.004628569466796362,0.025789247805991754,0.004516710119822966
211.6,0.008028770957516241,0.0036376831716539554,0.005535440427350575,0.003656424994310653,0.02491486863732251,0.004297739162332916,0.02202918516181613,0.004114361456920942
213.15,0.006062192797686656,0.0038159525707374556,0.0037704895946501105,0.003450324892738506,0.018699161581714904,0.004183253532218625,0.015416248802106436,0.004056769818878944
214.7,0.004549771780585116,0.004138401098477322,0.00269458915360554,0.003543001472044811,0.013583592754393874,0.003402118398148737,0.009998599125014732,0.0032278975192140042
216.25,0.006770432802259375,0.004391157483062092,0.004673308740640822,0.004253922781068265,0.013589561236322793,0.0032514519918685715,0.010150701283792234,0.0030715163906530635
217.8,0.005829588775830053,0.003485822578835137,0.003525042271525867,0.003395546966544878,0.01212917899422297,0.0028616373060535976,0.008709131444691452,0.0026490395564677987
219.35,0.0039780133592821195,0.0036304551804558632,0.0021332953717153567,0.0031188762073906372,0.009962719917548553,0.0027714256155053647,0.006505020192736322,0.0025199862695326953
220.9,0.0047395524712240955,0.0038267775602486994,0.0029271184222960187,0.0033309976950738765,0.0070538032795264705,0.002570789822046048,0.0035287453635078144,0.0021940885400638273
222.45,0.0033759732529450963,0.0028949592520338273,0.0016074430088555273,0.002270052868030267,0.005191318662428161,0.002474916675882158,0.0018747009547061164,0.001758992045517686
224.0,0.0024574899789266864,0.002625358236958447,0.0010774061879908108,0.001859558143363876,0.004198752470565283,0.002362960922885339,0.0012052212444807209,0.0013878848179693483
225.55,0.004071428473848342,0.002959416429795499,0.0022856487380811157,0.0025869137210456517,0.004236959080067365,0.002081779395433439,0.0012179680366095683,0.0012233484540281113
227.1,0.002887564481436059,0.002571758101716979,0.0014040733547541968,0.0019105367518628973,0.00271007614804635,0.0019153692338025653,0.0003321189409669852,0.0007523231691402351
228.65,0.002105812190793576,0.002375685033933166,0.0009150257176877613,0.0016798049419473298,0.001377114887064715,0.0017267470782670255,7.129449404871593e-05,0.00028852209546565056
230.2,0.002811857394067593,0.0030394812124826883,0.0015325311045320089,0.0025655307509709277,0.0009224339098481173,0.0014190762247601096,7.234461095931465e-06,6.860587081053682e-05
231.75,0.0032702169882900915,0.0029169477566327834,0.0018264260266643787,0.002543468767044515,0.00030387903386360637,0.0011617403621679066,2.896379491746451e-07,2.896379491746448e-06
233.3,0.0037348467053223856,0.0030107818382237358,0.002378001186407021,0.002576147644377622,0.00022654035522851455,0.001047958183172287,0.0,0.0
234.85,0.003685985112529936,0.0034297499500003004,0.002493804257765558,0.003112411419803095,0.00036450092162044925,0.0010578708088802673,1.473436324702446e-05,0.0001473436324702444
236.4,0.0031827351727764393,0.002600333576448837,0.0018249136238312666,0.0023011141041728296,0.00011692871952696994,0.0007760680177712916,0.0,0.0
237.95,0.0020436895467872067,0.0024243053309154143,0.0010517406508028417,0.001985721220030253,9.891708000248359e-05,0.0007433782301527208,0.0,0.0
239.5,0.0009888949423570987,0.0020464082569336753,0.0005608770076805621,0.0016119099686320941,0.0002404966451918825,0.0009425764445728241,7.787122182441468e-06,7.787122182441477e-05
241.05,0.00023174397697785958,0.0008384961706594431,0.00010759285992890496,0.0004933215608811386,0.00015298357609613592,0.0007624060285282628,0.0,0.0
242.6,0.000353770750785221,0.000971383373303737,0.00014256270153885071,0.0005989505971922944,0.00016732935944686124,0.0007797941495592468,0.0,0.0
244.15,0.002114195332336465,0.00265409791219351,0.0013131530103887012,0.0023916388025673504,0.0003659723995889355,0.001044030636569021,3.844718667041352e-06,2.7069103002252508e-05
245.7,0.0004974237663623507,0.0011749897882399572,0.00020848952558846206,0.0007263381092005458,0.0003606660831091143,0.0010631008934757116,2.4277961159364164e-06,2.4277961159364167e-05
247.25,0.00034826692189546775,0.0008329113580074838,8.947204821252069e-05,0.0003529608391146776,0.000428462316790244,0.0011964678028205335,2.3856821273223317e-05,0.000122093609122251
248.8,0.0009252842912782812,0.0016745094613681221,0.0004555815963851487,0.0012264949881099242,0.0005662896860646489,0.001401630022984136,9.285665056315384e-05,0.00034650039589532056
250.35,5.676725767067344e-06,5.676725767067332e-05,0.0,0.0,0.0011596255466866908,0.0018800451020021607,0.00041051784361576514,0.0009342543147117033
251.9,4.810113031591341e-05,0.00035850728691288043,1.600684731576128e-05,0.00016006847315761246,0.0019925653680841677,0.0021126150675485258,0.0009495762195710296,0.0013748907062932636
253.45,0.000991202982294408,0.0016290419938152206,0.0005284491691627442,0.0012044108669591158,0.0029488075255219583,0.0023390310585545094,0.0017824925002836078,0.0018542233097719222
255.0,0.0009695332522379305,0.0015664021214165443,0.0004661067872194364,0.0010832558644846648,0.003974227214632397,0.0022913072524085253,0.0027529528389252937,0.0020272851100105456
256.55,0.0014974878916492003,0.00198368265663284,0.0008479886319392236,0.0015243253203424216,0.005759497261366339,0.0025884349395020236,0.004736302342921018,0.002428736744851559
258.1,0.0026882349579199715,0.002673467853367919,0.0018443097668286706,0.0024297068355057455,0.00783466173499622,0.003044315948162525,0.007064325159717546,0.0029839698379369828
259.65,0.004018024833990157,0.003312323320797802,0.0031050259294510755,0.0032676065274475715,0.009574957224628556,0.0029252406856626447,0.009031188482804615,0.002867460999537892
261.2,0.004333998396151934,0.002963428598533151,0.003382442669012361,0.002999899831303426,0.01125509252966927,0.0029677235650396186,0.010929778688381308,0.002909728156108839
262.75,0.005289389303069936,0.0035144925087186776,0.00443660472059934,0.0036982055166280255,0.011986197745289752,0.0031051449860938505,0.011792847345651954,0.0030730788052947774
264.3,0.008698207388704781,0.004146612615111161,0.008081320532120413,0.004504558329601409,0.010900130769529011,0.003200364894759015,0.010675968873648972,0.0031763278699452786
265.85,0.004946113850557031,0.003530728710097486,0.004034575259492467,0.0036439392292849657,0.011529112312796708,0.0030222291159032917,0.0114234119015022,0.0030077690236286416
267.4,0.0032643534359458786,0.00325413635786378,0.0024655329046158305,0.003101695655828304,0.012717907275821214,0.0029356251873367575,0.012776576180939308,0.0029652110533214013
268.95,0.007111485007133449,0.003748161143799639,0.006363666493867402,0.0038924870425410467,0.013678682915226646,0.0030692390258110812,0.013878986843982062,0.00317519042759675
270.5,0.006217472813521204,0.003478538739827489,0.0053796448265175266,0.0035390668965778445,0.01430326707944998,0.0029574339297792933,0.014613927834360536,0.0030571619343338716
272.05,0.006015581053214556,0.00376449402816663,0.005148415714849874,0.003906901666373016,0.014681500178341253,0.0029710608006330175,0.015078056606614168,0.003075396826043322
273.6,0.0075966428865253946,0.004538439696279248,0.006931227295813407,0.00477398663277377,0.015040941878316484,0.0028959986221385936,0.015518702065432856,0.0029733964764967363
275.15,0.010121186463110226,0.004262613749927083,0.009622869007044609,0.004608263098091587,0.016674728362547873,0.002971128424521627,0.017344453027063434,0.0031000573680682697
276.7,0.011273554044098579,0.004448540410227928,0.010888418116520053,0.004775724883240004,0.016806576804788528,0.0030839094729530787,0.017532575663888373,0.0032348137221491005
278.25,0.010918943756739036,0.005490934692252759,0.010517328785850752,0.005816224821614124,0.015664477633456783,0.0030529537770368825,0.016332601965696813,0.0032240897519097513
279.8,0.011459944078486035,0.004759397830016204,0.011061772541386522,0.00503091707209868,0.015198810612475099,0.0028723931852911166,0.015867975724548865,0.0030292920378156506
281.35,0.011325150360378504,0.00448911665714995,0.010878182802003304,0.004741886689022436,0.014621796784227615,0.0028535343816614447,0.01528006262826614,0.0030086216163542376
282.9,0.011052072634939111,0.0048479864539181005,0.010561421335824848,0.005149306361321304,0.013941146941771008,0.0030388016558737137,0.0145776121757705,0.0032206677338867894
284.45,0.014452048198993945,0.00500191320133931,0.014335013459362354,0.005288370715259201,0.012827716296249993,0.0028587925170109737,0.013401416600130407,0.0030638459019474147
286.0,0.01397868075958345,0.004753833832343341,0.013771548790589434,0.0050023452218046875,0.01310649152847861,0.0030306874002586485,0.013737268613998089,0.0032379059897653124
287.55,0.01222163945452235,0.005113607526390796,0.01176518206268187,0.005466360900410379,0.013851222727534552,0.0033289251754082426,0.014576832835293147,0.0035503669149347496
289.1,0.015137935146005012,0.005247020186543928,0.015005292018387016,0.005576223754224563,0.01332609830160703,0.003407432639417528,0.014033943909998759,0.0036355764055364496
290.65,0.017184446586774583,0.005142461108268565,0.017266434573542398,0.005403948066795583,0.012433828137738778,0.0035160908383549566,0.013089835326562684,0.0037269620151560196
292.2,0.016718215006576477,0.005425552497052753,0.01670762230475534,0.0057476700242893265,0.011652677322991651,0.003640164076563011,0.012264972938797629,0.0038355101151263033
293.75,0.009802061733298686,0.005039341212901421,0.008949148634054447,0.005417210149199854,0.011565191533180674,0.003548701322401865,0.012193236391873117,0.0037618958985905036
