condition,fold,true_DQ_pct,true_TBZ_pct,true_THI_pct,nnls_DQ_pct,nnls_TBZ_pct,nnls_THI_pct,nnls_error_pct,physics_DQ_pct,physics_TBZ_pct,physics_THI_pct,physics_error_pct,rescue_gain_pct_point,eligible_physics_error_lt5
DQ3-TBZ12-THI24,1,7.692308,30.769232,61.538464,19.277695898202403,11.880679822947144,68.84162427876267,18.888550229837755,27.290058,27.755085,44.954857,19.59775161743164,-0.7092013875938861,False
DQ24-TBZ12-THI3,1,61.538464,30.769232,7.692308,55.11021100462147,34.19903928522583,10.690749710062358,6.428250963636087,67.93231,23.603804,8.463881,7.165426254272461,-0.7371752906363742,False
DQ6-TBZ6-THI3,4,40.0,40.0,20.0,38.480869096602376,50.73702021942541,10.782110683876283,10.737020368484988,51.512836,34.096085,14.391083,11.512836456298828,-0.7758160878138405,False
DQ12-TBZ3-THI12,2,44.444447,11.111112,44.444447,28.198779566989256,23.51445307956971,48.28676735335551,16.24566483602031,46.263332,26.517729,27.218945,17.225502014160156,-0.9798371781398458,False
DQ6-TBZ24-THI12,1,14.285715,57.14286,28.57143,10.508286431440613,60.08180244435223,29.409911124124182,3.7774262576792,10.006981,62.335724,27.6573,5.192863941192627,-1.415437683513427,False
DQ6-TBZ12-THI12,4,20.0,40.0,40.0,20.354840402367287,32.61988114377589,47.02527845377381,7.380118707170989,18.85143,48.93511,32.21346,8.935110092163086,-1.554991384992097,False
DQ6-TBZ3-THI12,1,28.57143,14.285715,57.14286,35.84721274185742,23.139368593718615,41.013418664336136,16.12943879778769,41.975506,19.194824,38.829666,18.313190460205078,-2.1837516624173894,False
DQ6-TBZ6-THI6,1,33.333336,33.333336,33.333336,38.73855373152406,45.222469247495454,16.038977020886094,17.29435581569467,53.11907,23.74176,23.139175,19.785734176635742,-2.4913783609410736,False
DQ6-TBZ24-THI3,3,18.181818,72.72727,9.090909,31.749215932655822,59.484252310562155,8.766531756689675,13.567398699139524,32.57767,56.46968,10.952645,16.257593154907227,-2.6901944557677027,False
DQ6-TBZ3-THI24,3,18.181818,9.090909,72.72727,32.34356225399332,16.02466156093957,51.631776184981085,21.09549721957414,27.926668,23.58569,48.487644,24.23963165283203,-3.144134433257893,False
