raman_shift_cm-1,compound,normalized_abs_IG,within_10cm-1_of_VIP
1304.35,DQ,0.043450907,0
1305.9,DQ,0.018685717,0
1307.45,DQ,0.015825298,0
1309,DQ,0.015500543,0
1310.55,DQ,0.015288521,0
1312.1,DQ,0.039076116,0
1313.65,DQ,0.017565561,0
1315.2,DQ,0.049450483,0
1316.75,DQ,0.020196663,0
1318.3,DQ,0.037965607,0
1319.85,DQ,0.0026649025,0
1321.4,DQ,0.0047672885,0
1322.95,DQ,0.032547884,0
1324.5,DQ,0.036755908,0
1326.05,DQ,0.037529156,0
1327.6,DQ,0.044715401,0
1329.15,DQ,0.012261609,0
1330.7,DQ,0.035029255,0
1332.25,DQ,0.012919385,0
1333.8,DQ,0.014244626,0
1335.35,DQ,0.020174485,0
1336.9,DQ,0.039582916,0
1338.45,DQ,0.088215142,0
1340,DQ,0.057143964,0
1341.55,DQ,0.021597903,0
1343.1,DQ,0.02979886,0
1344.65,DQ,0.03856156,0
1346.2,DQ,0.016213508,0
1347.75,DQ,0.1040638,0
1349.3,DQ,0.27428025,0
1350.85,DQ,0.027632946,0
1352.4,DQ,0.1048533,0
1353.95,DQ,0.31782246,0
1355.5,DQ,0.45332113,0
1357.05,DQ,0.11693477,0
1358.6,DQ,0.082885176,0
1360.15,DQ,0.18937565,0
1361.7,DQ,0.34571752,0
1363.25,DQ,0.36201593,0
1364.8,DQ,0.45085895,0
1366.35,DQ,0.38651755,0
1367.9,DQ,0.6844241,0
1369.45,DQ,0.9999997,0
1371,DQ,0.2233623,0
1372.55,DQ,0.86617416,0
1374.1,DQ,0.92590308,0
1375.65,DQ,0.26433408,0
1377.2,DQ,0.85350794,0
1378.75,DQ,0.59930581,0
1380.3,DQ,0.65801793,0
1381.85,DQ,0.4695721,0
1383.4,DQ,0.72663331,0
1384.95,DQ,0.27886829,0
1386.5,DQ,0.42981651,0
1388.05,DQ,0.35751611,0
1389.6,DQ,0.43122187,0
1391.15,DQ,0.26800907,0
1392.7,DQ,0.14311917,0
1394.25,DQ,0.020746458,0
1395.8,DQ,0.01584618,0
1397.35,DQ,0.0081112674,0
1398.9,DQ,0.093328625,0
1400.45,DQ,0.038613066,0
1402,DQ,0.050285216,0
1403.55,DQ,0.009275482,0
1405.1,DQ,0.0010924361,0
1406.65,DQ,0.0064581148,0
1408.2,DQ,0.001519214,0
1409.75,DQ,0.00063559669,0
1411.3,DQ,0.00028946978,0
1412.85,DQ,0.0027526987,0
1414.4,DQ,0.00020559499,0
1415.95,DQ,0.00011105956,0
1417.5,DQ,5.8280551e-05,0
1419.05,DQ,2.422506e-06,0
1420.6,DQ,0.00085761724,0
1422.15,DQ,1.8112436e-05,0
