raman_shift_cm-1,DQ12_TBZ3_THI3_raw_sg11_mean,DQ12_TBZ3_THI3_raw_sg11_std,DQ12_TBZ3_THI3_preprocessed_sg11_mean,DQ12_TBZ3_THI3_preprocessed_sg11_std,DQ6_TBZ24_THI6_raw_sg11_mean,DQ6_TBZ24_THI6_raw_sg11_std,DQ6_TBZ24_THI6_preprocessed_sg11_mean,DQ6_TBZ24_THI6_preprocessed_sg11_std
746.35,0.00807102979651203,0.00420838011827706,0.007898103426787165,0.004480831145311726,0.01228438837335078,0.0022035799667032706,0.012776549010549485,0.0024801202363591416
747.9,0.0067500603020026395,0.004015641730835912,0.006488223093138376,0.004243438936490355,0.012594473822101057,0.0023023934946870294,0.013110311730748402,0.002613644070091519
749.45,0.005936970125471705,0.003897003010187419,0.00560778012217055,0.0040872187567688395,0.013107290937590983,0.00242100441055524,0.013669767222359882,0.0027662218339572003
751.0,0.005555433561591108,0.003837204717744169,0.005175172255213543,0.004006603368311942,0.014010141935687788,0.0025536374544577476,0.014662500404801809,0.002923548979446242
752.55,0.0059821175231422295,0.003945297457511319,0.005606657265500221,0.004141757464621096,0.01505599227137951,0.0026328071044180246,0.01581453721005333,0.003024311440969748
754.1,0.007192204877489041,0.004165509983583622,0.006876619673825975,0.0044342567638184565,0.016443511620961006,0.0027385651648573865,0.017346081961346498,0.003155228689017912
755.65,0.009272844862436238,0.004459472743874694,0.009088785861134806,0.00481441730311578,0.01801521771669759,0.002909747912853926,0.019082305269664854,0.003350272555061759
757.2,0.011913723416930673,0.004753472854507705,0.011905478454164467,0.005177970174859122,0.019835433915472545,0.003077014128940185,0.021094308859308825,0.0035352464592377127
758.75,0.01366395692150301,0.005052560732439454,0.013755858871175919,0.00552715315654567,0.0216827177771022,0.0032414111642922482,0.023136534190925317,0.003719790719480556
760.3,0.013982100184186328,0.004890343856290782,0.014094242710731356,0.0053604353209806095,0.023158615040020973,0.0034953702196242817,0.02476627111934955,0.004016703226579457
761.85,0.01309765296244801,0.004608292655995337,0.013108978023070117,0.0050722106097884495,0.024813148603296534,0.003803752713671723,0.02659480370470828,0.004371053085827613
763.4,0.012611796469140036,0.004562688924173025,0.012541178188547894,0.005030707987908832,0.0265563521814688,0.004103812233074416,0.02852314557488187,0.00471655655986019
764.95,0.012861304697069212,0.004684603615941331,0.01279651075570262,0.005152741555750118,0.02825925578386376,0.004368372048106051,0.03040659256382183,0.005021778798915831
766.5,0.013687960569010955,0.0047406821054774865,0.013699906822174585,0.005213997483231466,0.03014022761674142,0.00465360109839813,0.03248822632881505,0.0053489255922251205
768.05,0.015150887615764585,0.004791978837436204,0.015317470951037653,0.005264989209583019,0.03229112202528843,0.004902945107703787,0.034870038989225936,0.005631777146588668
769.6,0.016937118628514124,0.004882892933322516,0.017295475999380194,0.005369152633495627,0.03456656207155923,0.005172691926628471,0.037390215936147705,0.0059349964998189975
771.15,0.018572810140510078,0.00501470680356757,0.01910306094279932,0.005524951632576326,0.03654702350964887,0.005496398869615635,0.039583536523274024,0.006298048646963733
772.7,0.01946832919735235,0.005351658744766634,0.020073771735500158,0.005914620055412643,0.038718970981007114,0.005726081478291054,0.041990542377075286,0.006555746187280727
774.25,0.019701513660171664,0.005556971418497833,0.020295495408960522,0.006162749483178939,0.040871897746316714,0.005892423279822039,0.044376705139499054,0.006743525847385316
775.8,0.018653859221113952,0.005292397267194125,0.019077392177195028,0.0059046124738554445,0.042681599180925296,0.006086575556179747,0.04638155530372781,0.006963004386675548
777.35,0.016598239568233482,0.004945110988782997,0.016728179985907574,0.005553715285834188,0.04444495046593989,0.006220968966130644,0.04833488255387304,0.007109649474371421
778.9,0.015359302251896065,0.004813573227887234,0.015295135205948336,0.005424614593553269,0.045295714577703594,0.006391782539067124,0.04927371344603956,0.007299355059228413
780.45,0.014481497304546249,0.004750207193494661,0.014273606084155,0.005346741382052197,0.045198798253336864,0.006549728006171389,0.049158610700250946,0.007475228083422486
782.0,0.013969713032524544,0.004688178071862514,0.013664124416032906,0.005272175436690394,0.044439589732004216,0.006638897285851177,0.04830703500758327,0.00757535060551634
783.55,0.013961467768389968,0.0047384648592816445,0.013617283930392325,0.005304237843426949,0.04289673300668142,0.006586750070846822,0.04658428922588318,0.007516524090063209
785.1,0.013676404629647183,0.004758541023589473,0.013260049568725826,0.005303348364135631,0.04040872280458222,0.006413768561907357,0.043810533459662036,0.007320716277914251
786.65,0.012758227414612983,0.0046962746346912885,0.012204744790258137,0.005211238287780976,0.0372482463354423,0.0060322526809172385,0.040288915574462895,0.006889636986002595
788.2,0.011651824936804106,0.004604612110636992,0.010939484129103536,0.00508174578222582,0.03360945897104282,0.005353282979502467,0.03623519589763376,0.006121093610034297
789.75,0.010638221678945358,0.004445413154457276,0.009781741836021776,0.004878016310508818,0.02933497600183732,0.004466913795479612,0.03147422048351575,0.005114295290834018
791.3,0.008705704983641786,0.004018399151476262,0.007595107021136847,0.004380310086557632,0.024859259336613725,0.0035317873613282674,0.02648849447112851,0.004040348207427474
792.85,0.008358642333729032,0.004059182823207469,0.007183200322793835,0.0044265154139987535,0.020459826866243383,0.0026406164188540605,0.02158509992915964,0.0029884102362781485
794.4,0.00888918693319618,0.004361768602165467,0.007748558902140176,0.004772946787362675,0.015993993305656963,0.002023013476844189,0.01659836636337225,0.0022268898105160502
795.95,0.009017621642239414,0.00450747930125179,0.007858827900713359,0.0049446189840423515,0.011910223397688793,0.0017937364783443038,0.012044834658918783,0.0019001449169617343
