raman_shift_cm-1,observed_normalized,fitted_THI_component,residual_after_THI
583.6,0.018011974678961713,0.01874365901676662,0.0
585.15,0.014070009648936368,0.015049148006244432,0.0
586.7,0.011218354858819581,0.0123722253750856,0.0
588.25,0.008948209426346906,0.010221180434928248,0.0
589.8,0.006685812814755518,0.008058771708491388,0.0
591.35,0.004782798812396767,0.006235431167106878,0.0
592.9,0.003498947745723641,0.004997462377189513,0.0
594.45,0.0027351583717869408,0.004229867443445874,0.0
596.0,0.0015085454611122326,0.0030083799125755497,0.0
597.55,0.00046389352833096106,0.001999025361130626,0.0
599.1,0.0,0.0011719915211970916,0.0
600.65,0.0,0.0005562591042281204,0.0
602.2,0.0,0.0005810170571949424,0.0
603.75,0.0,0.0,0.0
605.3,0.0,0.0,0.0
606.85,0.0,0.0,0.0
608.4,0.0,0.0,0.0
609.95,0.0,0.0,0.0
611.5,0.0,0.0,0.0
613.05,0.0,0.0,0.0
614.6,0.0,0.0,0.0
616.15,0.0,0.0,0.0
617.7,0.0,0.0,0.0
619.25,0.0,0.0,0.0
620.8,0.0,0.0,0.0
622.35,0.0,0.0,0.0
623.9,9.486048030738155e-06,0.0,9.486048030738155e-06
625.45,9.691625678772003e-05,0.0,9.691625678772003e-05
627.0,0.00019128461081061105,0.0,0.00019128461081061105
628.55,0.00029600782116414665,0.0,0.00029600782116414665
630.1,0.00039077347762541624,0.0,0.00039077347762541624
631.65,0.00045710847637539363,0.0,0.00045710847637539363
633.2,0.0004888660622227077,0.0,0.0004888660622227077
634.75,0.0005864146331208283,8.309405620063875e-05,0.0005033205769201895
636.3,0.000631952790587979,7.650941829327169e-05,0.0005554433722947073
637.85,0.0005711238514098767,0.0,0.0005711238514098767
639.4,0.0008439951482056652,0.0002969914069118141,0.0005470037412938511
640.95,0.001840228399947085,0.0012712514715215956,0.0005689769284254894
642.5,0.002123913968985331,0.0014730434634738169,0.0006508705055115142
644.05,0.0024393209196506838,0.0017313963640282189,0.0007079245556224649
645.6,0.0027935591313496596,0.0020997435127514926,0.000693815618598167
647.15,0.002973958342300696,0.0023320655591327834,0.0006418927831679127
648.7,0.0032178645883261248,0.0026173265635680127,0.0006005380247581121
650.25,0.0030216286678015785,0.0024911719663111968,0.0005304567014903817
651.8,0.0024637649484008568,0.002046250149483439,0.0004175147989174178
653.35,0.0023961946485546444,0.0021036409882680455,0.0002925536602865989
654.9,0.0020620020658205763,0.0018047399968965068,0.00025726206892406943
656.45,0.00212085805999799,0.0018958969831818085,0.00022496107681618132
658.0,0.002870866046723259,0.0027580835825996987,0.0001127824641235604
659.55,0.0030789630383506066,0.0029809428626879774,9.802017566262929e-05
661.1,0.0033042545769899644,0.0032295260816150926,7.47284953748718e-05
662.65,0.0032714598126034247,0.0032383224461281076,3.313736647531703e-05
664.2,0.0029390122023847127,0.0029593981798194135,0.0
665.75,0.0036050496557933267,0.0036173356907819158,0.0
667.3,0.0036298340726740107,0.003698570683407237,0.0
668.85,0.002968643728169773,0.003134812696802317,0.0
670.4,0.0029558808882251693,0.003153243711149988,0.0
671.95,0.002453972955245176,0.0026374735379507343,0.0
673.5,0.0021470414993558632,0.0023375869081772153,0.0
675.05,0.0022483648628999287,0.002483161964781113,0.0
676.6,0.0020662722069551514,0.002335212506247506,0.0
678.15,0.0023054000644446315,0.002592550106061448,0.0
679.7,0.0024594706069186326,0.0027425504773475303,0.0
681.25,0.0022620855843351554,0.0025530704959855844,0.0
682.8,0.0017282569599554652,0.0020293761984823354,0.0
684.35,0.0018025896253545508,0.0021253580351935845,0.0
685.9,0.0019081996296731376,0.002249631989047351,0.0
687.45,0.001537928705860282,0.0018798472310881038,0.0
689.0,0.001434706941855354,0.0017680201874661504,0.0
690.55,0.0011903944145414628,0.0014923743805966402,0.0
692.1,0.0009566922647562961,0.0012153275540895516,0.0
693.65,0.0009932490285899376,0.0011555837308390145,0.0
695.2,0.0012723355189739843,0.001354649630630898,0.0
696.75,0.0012981694856068818,0.001328405594268811,0.0
698.3,0.0011524304521720458,0.0011326234778037717,1.9806974368274033e-05
699.85,0.0011994111860117675,0.001060463673169224,0.00013894751284254355
701.4,0.0016467195245967378,0.0014004691807166013,0.00024625034388013655
702.95,0.001990989624764118,0.0016605237174264593,0.0003304659073376586
704.5,0.002019541594104976,0.0016582253556785395,0.00036131623842643634
706.05,0.0019690986215705583,0.0015964678961777501,0.0003726307253928082
707.6,0.0017828947235403578,0.0014557363945660177,0.0003271583289743401
709.15,0.0017180768240643513,0.0014193926808814864,0.0002986841431828649
710.7,0.0018543308692052277,0.0015478296236854786,0.0003065012455197491
712.25,0.0020154419808160696,0.001736038331995042,0.0002794036488210276
713.8,0.0016012139378283414,0.0013558764725553132,0.0002453374652730282
715.35,0.001408075531074601,0.0011577500431060393,0.00025032548796856163
716.9,0.0016750641548704337,0.0013807645334289152,0.0002942996214415185
718.45,0.0016357154882104686,0.0013541959883402275,0.00028151949987024116
720.0,0.0022183251541062414,0.0018570172200553764,0.00036130793405086503
721.55,0.002507595590100034,0.0020232823539878854,0.0004843132361121486
723.1,0.002330247978186855,0.0017416057433616286,0.0005886422348252264
724.65,0.002064141471330011,0.0013124304631947292,0.0007517110081352817
726.2,0.0022976045502274946,0.0013666544208784796,0.0009309501293490151
727.75,0.0027794503162621603,0.0015899036443004716,0.0011895466719616886
729.3,0.0031155576871244655,0.001558104499836207,0.0015574531872882586
730.85,0.003042982082927464,0.0011595011575858895,0.0018834809253415745
732.4,0.0032331239571825013,0.0011174579229816185,0.002115666034200883
733.95,0.0033768519521120304,0.0012050156087094286,0.002171836343402602
735.5,0.0035861044701917012,0.0013552862780334056,0.0022308181921582956
737.05,0.003460520666635558,0.001364372836255753,0.002096147830379805
738.6,0.004072753433808478,0.0021927942153521485,0.0018799592184563295
740.15,0.004409189917504987,0.002748610219014063,0.001660579698490924
741.7,0.003972400617641676,0.0025000722784807245,0.0014723283391609512
743.25,0.004331138863106461,0.0028841560190560056,0.0014469828440504557
744.8,0.004120863219238357,0.002676367654441945,0.0014444955647964124
746.35,0.0037594558169159677,0.002334216655796062,0.0014252391611199056
747.9,0.003864254735145607,0.002489656770289093,0.0013745979648565137
749.45,0.003486513402354408,0.0021358901262790225,0.0013506232760753857
751.0,0.0031795040674828232,0.001839739704471681,0.0013397643630111422
752.55,0.0030986423895948824,0.0017064985692986276,0.0013921438202962547
754.1,0.0032202915749220324,0.0016794279791438826,0.0015408635957781499
755.65,0.0028186323578758164,0.0012193519726191044,0.001599280385256712
